"horizon","tot_value","tot_sd_units","marginal_effect","se","ci_lower","ci_upper"
18,7.6106446678878,0.4,-7.91960746641946,2.43986348621723,-11.9328257709903,-3.90638916184858
18,9.51330583485974,0.5,-8.21455863575815,2.50784555740993,-12.339597496698,-4.08951977481829
18,11.4159670018317,0.6,-8.50950980509684,2.58274288028678,-12.7577437992196,-4.26127581097405
18,13.3186281688036,0.7,-8.80446097443553,2.66397225378381,-13.1863053981699,-4.42261655070115
18,15.2212893357756,0.8,-9.09941214377423,2.75097282603711,-13.6243597743263,-4.57446451322215
18,17.1239505027475,0.9,-9.39436331311292,2.84321486132615,-14.0710355899676,-4.71769103625828
18,19.0266116697195,1,-9.68931448245161,2.94020508521834,-14.5255214808542,-4.85310748404907
18,20.9292728366914,1.1,-9.9842656517903,3.04148928586447,-14.9870703349785,-4.9814609686021
18,22.8319340036634,1.2,-10.279216821129,3.14665284807835,-15.4550001710478,-5.10343347121015
18,24.7345951706353,1.3,-10.5741679904677,3.25531982361449,-15.928692609227,-5.21964337170838
18,26.6372563376073,1.4,-10.8691191598064,3.36715103598309,-16.4075897538366,-5.33064856577619
18,28.5399175045792,1.5,-11.1640703291451,3.481841607775,-16.8911901261643,-5.43695053212582
18,30.4425786715512,1.6,-11.4590214984838,3.59911819777443,-17.3790441199201,-5.53899887704746
18,32.3452398385231,1.7,-11.7539726678225,3.7187361507474,-17.8707493130549,-5.63719602259005
18,34.2479010054951,1.8,-12.0489238371612,3.8404766961416,-18.3659458600323,-5.73190181429003
18,36.150562172467,1.9,-12.3438750064998,3.96414428165077,-18.8643121059321,-5.82343790706763
18,38.053223339439,2,-12.6388261758385,4.0895640911091,-19.3655605037498,-5.91209184792723
