"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","fci_label"
12,-0.00943127354408039,0.00552172328689665,0.0885943978410267,-0.0185137001195547,-0.000348846968606037,-0.016342934701338,0.0105371251874238,0.121887286970815,-0.0336749632835138,0.000989093880837854,0.435374560395447,334,"FCI_EXO","Exogenous (External)"
13,-0.0097952741435821,0.00572425124702476,0.088012295285829,-0.0192108295688323,-0.000379718718331944,-0.0181388202752581,0.01173706500439,0.123227394426804,-0.0374445742174942,0.00116693366697804,0.398763935271053,333,"FCI_EXO","Exogenous (External)"
14,-0.00984851012455971,0.00588092381093237,0.0949791803991713,-0.0195217689847971,-0.00017525126432234,-0.020287047585936,0.0128958504478785,0.116673313216079,-0.0414988339677528,0.000924738795880731,0.348527641457682,332,"FCI_EXO","Exogenous (External)"
15,-0.0106891429194654,0.00608648078369378,0.0800120043063115,-0.0207005129118946,-0.000677772927036283,-0.0205251669990667,0.0137036041277487,0.135175781790287,-0.0430655899509012,0.00201525595276786,0.41176012774048,331,"FCI_EXO","Exogenous (External)"
16,-0.0111317692505672,0.0062808464136013,0.0772962242104267,-0.0214628422543044,-0.000800696246829966,-0.0208995075564887,0.0144539460699628,0.149179464470631,-0.0446741331734279,0.0028751180604506,0.44624616132586,330,"FCI_EXO","Exogenous (External)"
17,-0.0112528785285559,0.00661909152837752,0.0900997597883808,-0.0221403152361314,-0.000365441820980339,-0.0214318024461093,0.0150212510258154,0.154631675179827,-0.0461395616772703,0.00327595678505171,0.454300966168475,329,"FCI_EXO","Exogenous (External)"
18,-0.011710252641235,0.00672834021563487,0.0827557404010583,-0.0227773874482854,-0.00064311783418448,-0.0205213988993035,0.0154050365995047,0.183779796880853,-0.045860429223319,0.00481763142471188,0.524760148553644,328,"FCI_EXO","Exogenous (External)"
19,-0.0125102239635052,0.00753251031651069,0.0977424411489675,-0.0249001008776672,-0.00012034704934321,-0.0187492025876087,0.0155468950641768,0.228731275130441,-0.0443215693217538,0.00682316414653642,0.66390384923655,327,"FCI_EXO","Exogenous (External)"
20,-0.0117568471088853,0.00805820945752047,0.14556745595214,-0.0250114221618225,0.00149772794405188,-0.0195618857179755,0.0157804954489317,0.216040042335562,-0.0455184908922421,0.00639471945629103,0.595254509570894,326,"FCI_EXO","Exogenous (External)"
21,-0.0117198463383185,0.00862644511114159,0.175253215914486,-0.0259090858670775,0.00246939319044057,-0.0208945014224393,0.0159017231250834,0.189816069927193,-0.0470505083795109,0.0052615055346323,0.530731712990655,325,"FCI_EXO","Exogenous (External)"
22,-0.0120131277677404,0.00850447343894086,0.158780157225605,-0.0260017417490947,0.00197548621361398,-0.0222931404756075,0.0165331538385398,0.178510967660569,-0.0494877585318764,0.0049014775806614,0.488279251677492,324,"FCI_EXO","Exogenous (External)"
23,-0.011786174784713,0.00845023002132238,0.164078899369923,-0.0256855662838593,0.00211321671443333,-0.0236733544491698,0.0170050359670453,0.164875324214641,-0.0516441495360045,0.00429744063766491,0.440478381954116,323,"FCI_EXO","Exogenous (External)"
24,-0.00995807565604323,0.0082174448532918,0.226503600083853,-0.023474569627254,0.0035584183151675,-0.0259884599007821,0.0176243631395979,0.141341432163725,-0.0549779575336595,0.00300103773209536,0.315270527237585,322,"FCI_EXO","Exogenous (External)"
