"credit_type","horizon","method","coef","se","p_value","ci_lower","ci_upper","n_obs"
"Cred_Real_Total",12,"2SLS_improved",-161.954754956355,45.0004469830709,0.000374015020889536,-235.973903390897,-87.9356065218137,312
"Cred_Real_Total",12,"OLS",-6.36816907791279,2.40448837314971,0.00851696363697732,-10.3232004994507,-2.41313765637485,312
"Cred_Real_Total",13,"2SLS_improved",-170.806905795987,47.113927542561,0.000339386040363482,-248.302420394298,-93.3113911976772,311
"Cred_Real_Total",13,"OLS",-6.73511401899459,2.49746741430882,0.00740116607882302,-10.8430823536136,-2.62714568437561,311
"Cred_Real_Total",14,"2SLS_improved",-173.284797687032,47.4648899621158,0.000308996913392108,-251.357594094071,-95.2120012799936,310
"Cred_Real_Total",14,"OLS",-7.06910007984089,2.60436006617302,0.0070305502314189,-11.3528911805732,-2.78530897910863,310
"Cred_Real_Total",15,"2SLS_improved",-174.31996458175,48.2393492826352,0.00035484703261148,-253.666633211071,-94.9732959524284,309
"Cred_Real_Total",15,"OLS",-6.94254471808393,2.72024134621244,0.0112091066831307,-11.4169435625848,-2.46814587358305,309
"Cred_Real_Total",16,"2SLS_improved",-170.330348727861,48.5129851532494,0.000516420516000987,-250.127108311426,-90.5335891442953,308
"Cred_Real_Total",16,"OLS",-6.3511702450674,2.68551100629552,0.0186805388162318,-10.7684427639907,-1.93389772614411,308
"Cred_Real_Total",17,"2SLS_improved",-165.401236317766,48.9937293672857,0.000834865186254749,-245.988749765425,-84.8137228701072,307
"Cred_Real_Total",17,"OLS",-6.33967978877233,2.40425074323303,0.00881398751491173,-10.29432034388,-2.3850392336647,307
"Cred_Real_Total",18,"2SLS_improved",-160.403721781687,49.2353420807981,0.00125486576921865,-241.388652777484,-79.4187907858898,306
"Cred_Real_Total",18,"OLS",-5.94486924531091,2.36418652984311,0.0124558391990056,-9.83361003371316,-2.05612845690867,306
"Cred_Real_Total",19,"2SLS_improved",-154.946741680698,51.2766421143159,0.00273634569807205,-239.289312440323,-70.6041709210725,305
"Cred_Real_Total",19,"OLS",-5.28562165542137,2.15710548563404,0.014861328094285,-8.83374443718343,-1.73749887365931,305
"Cred_Real_Total",20,"2SLS_improved",-150.625394623355,52.2584837750851,0.00424274755785079,-236.582951199788,-64.6678380469217,304
"Cred_Real_Total",20,"OLS",-5.16903126812444,2.2414735557494,0.0218110393171299,-8.85592717601465,-1.48213536023422,304
"Cred_Real_Total",21,"2SLS_improved",-145.130448039929,54.553699548704,0.00824262457336412,-234.863298606236,-55.3975974736227,303
"Cred_Real_Total",21,"OLS",-4.19617652934346,2.19360986260285,0.056747824927486,-7.80434366796227,-0.588009390724642,303
"Cred_Real_Total",22,"2SLS_improved",-138.377151261991,54.7623671306833,0.0120440985834476,-228.453229457344,-48.3010730666386,302
"Cred_Real_Total",22,"OLS",-3.4187078796789,2.0701167331905,0.0997352853453605,-6.82374689648023,-0.0136688628775641,302
"Cred_Real_Total",23,"2SLS_improved",-131.482699110385,53.4592570195796,0.014503171192167,-219.415351913172,-43.5500463075988,301
"Cred_Real_Total",23,"OLS",-3.26236115543278,1.94678397592173,0.0948723871365071,-6.46453583911864,-0.0601864717469143,301
"Cred_Real_Total",24,"2SLS_improved",-124.779791888791,50.6472905690512,0.0143396726531959,-208.08717147656,-41.4724123010223,300
"Cred_Real_Total",24,"OLS",-2.92295849620765,2.18246832469614,0.181539573674844,-6.51279943579079,0.666882443375494,300
"Cred_Real_MN",1,"2SLS_improved",-23.3733129868827,8.67345174385367,0.00742815874512772,-37.639871545949,-9.10675442781639,323
"Cred_Real_MN",1,"OLS",-1.71695766726268,0.788688383794024,0.0302388023515315,-3.01423461588077,-0.419680718644583,323
"Cred_Real_MN",2,"2SLS_improved",-38.0513667145986,13.2573247764537,0.00438586916669151,-59.857725456822,-16.2450079723751,322
"Cred_Real_MN",2,"OLS",-2.34560690582023,0.92992960061509,0.0121611208326435,-3.87520498220149,-0.816008829438967,322
"Cred_Real_MN",3,"2SLS_improved",-53.7785393596002,18.0919587376432,0.00318749460580981,-83.5371633078689,-24.0199154113314,321
"Cred_Real_MN",3,"OLS",-4.02707652228186,1.23025792284523,0.00118406384949633,-6.05067072875962,-2.00348231580409,321
"Cred_Real_MN",4,"2SLS_improved",-71.4469809816418,23.2593162770453,0.00231921760225579,-109.705151720351,-33.1888102429324,320
"Cred_Real_MN",4,"OLS",-5.48373781755631,1.48440316271488,0.00026118023101731,-7.92536374360613,-3.0421118915065,320
"Cred_Real_MN",5,"2SLS_improved",-88.9133749830692,29.6353092047992,0.00292008998355665,-137.659120814411,-40.167629151727,319
"Cred_Real_MN",5,"OLS",-6.27533213691431,1.6779258929368,0.00021982539484746,-9.03527462766719,-3.51538964616142,319
"Cred_Real_MN",6,"2SLS_improved",-102.765465623394,34.6214993390848,0.00323305954048621,-159.712764381786,-45.8181668650024,318
"Cred_Real_MN",6,"OLS",-6.18746477091755,1.82939868502234,0.000813067236966447,-9.1965578331168,-3.17837170871831,318
"Cred_Real_MN",7,"2SLS_improved",-114.801660290369,39.5399722775874,0.00396208750985781,-179.83912710072,-49.7641934800189,317
"Cred_Real_MN",7,"OLS",-6.68821259172784,1.81879497027724,0.000278819277689898,-9.67986409526946,-3.69656108818623,317
"Cred_Real_MN",8,"2SLS_improved",-129.080336003082,44.5206010778465,0.00401367343333842,-202.310208160038,-55.8504638461269,316
