"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","credit_type","fci_label","credit_label"
14,-10.01378501269,3.74449042063683,0.0078737784180836,-16.1729236621595,-3.85464636322043,6.24068568277182,4.73422570188045,0.188377411676553,-1.5464226337731,14.0277939993168,0.00671055376882512,332,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
15,-8.08233770066021,4.12698376630184,0.0510527473951549,-14.8706219170316,-1.29405348428879,5.88901951422332,4.42456472073828,0.184145163736213,-1.38874181436457,13.1667808428112,0.0150005311959334,331,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
16,-5.72687938917847,4.32932914409504,0.186849063371597,-12.8479921341099,1.39423335575297,5.08170787721768,4.22020473620073,0.229431838433989,-1.85991118959986,12.0233269440352,0.0562759263022541,330,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
17,-3.96784604672234,4.49829483641168,0.378403089100603,-11.3668826234912,3.43119053004649,4.96561069478789,3.9533092041387,0.210017568783474,-1.53700428810028,11.4682256776761,0.115479472658837,329,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
18,-1.87047872187155,4.70896856216418,0.691476174228425,-9.61604274054776,5.87508529680466,4.55652750531057,3.83681361911071,0.23589036374661,-1.75446929202049,10.8675243026416,0.283048120969538,328,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
19,-0.448733616455291,4.78938609017297,0.92541232011864,-8.32657269774722,7.42910546483664,4.47666436756001,3.63983160056657,0.219648676116857,-1.51032584212449,10.4636545772445,0.422242486795623,327,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
20,0.402007405424555,4.97338930320391,0.935627309911235,-7.77849002819206,8.58250483904117,4.72286911470566,3.55430694350748,0.184887482046046,-1.12344555262142,10.5691837820327,0.506883615674203,326,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
21,2.01774074167653,4.95782737205641,0.684300228476364,-6.13715959304975,10.1726410764028,4.16206435523881,3.6446138157064,0.254336524479321,-1.83279189836331,10.1569206088409,0.753343554718265,325,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
22,3.57000845981291,4.81789756390488,0.459257507930348,-4.3547278224567,11.4947447420825,3.63944229245133,3.81944519323479,0.341392558233554,-2.64298598658328,9.92187057148594,0.992149173173897,324,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
23,3.77437633121431,4.37204471117107,0.388639053574132,-3.41699726914942,10.965749931578,4.35581397725358,4.00836613900616,0.278019477904753,-2.23736160464016,10.9489895591473,0.932088836872944,323,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
24,4.06259200923862,4.08340838274324,0.320559766823476,-2.65401707944064,10.7792010979179,4.96772984485861,4.11419151573127,0.228174721321268,-1.79951299176493,11.7349726814822,0.893251119656914,322,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
1,2.43043814503131,2.31974417540756,0.295528314317522,-1.38520147548737,6.24607776554998,-5.04222559291784,2.37775465858097,0.0346957815770257,-8.9532839670855,-1.13116721875017,0.0873502339957801,345,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
2,2.5659241240829,3.11079063826918,0.410051100212931,-2.55087113996084,7.68271938812663,-7.35897764756771,3.13704456032837,0.0195726407429566,-12.5189567705322,-2.1989985246032,0.0813630227479162,344,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
3,0.75902958427168,3.54878698420611,0.830769025688553,-5.07820555797791,6.59626472652127,-7.91036732754211,3.69544771429477,0.0330389978175234,-13.9888379036094,-1.83189675147484,0.175942431833988,343,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
4,-3.01721464100138,3.57656188221219,0.399499821546573,-8.90013542497449,2.86570614297172,-6.14058032639354,3.88077973812816,0.114537671933885,-12.5238949540534,0.242734301266353,0.611452934215528,342,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
5,-4.89101963112308,3.76554421825654,0.194892003887939,-11.0847886959685,1.30274943372233,-6.16360381219954,4.52269449072347,0.17387232248842,-13.6027742488595,1.2755666244604,0.850377171408148,341,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
6,-6.50101967743272,3.93876914401351,0.0997936650833393,-12.9797183896879,-0.0223209651775536,-6.61316715722588,5.0136218750143,0.18807589755625,-14.8598412825064,1.63350696805462,0.987679424933425,340,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
7,-8.1103220634003,4.08418878294787,0.0478919611019092,-14.8282147961866,-1.39242933061398,-6.86399353143465,5.64000020821527,0.2244741780695,-16.1409683299246,2.41298126705529,0.875846531560761,339,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
8,-10.3414791016541,4.32072396408463,0.0172554130997591,-17.4484375850348,-3.23452061827333,-5.72767157169557,5.99221560977277,0.339855253044022,-15.5839891509055,4.1286460075144,0.589210622267241,338,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
9,-10.3318573346557,4.7169230122667,0.0292067298851286,-18.0905052594334,-2.57320940987794,-5.95711980993003,6.00725654385239,0.322104072340681,-15.8381775241136,3.92393790425353,0.623921579900626,337,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
10,-12.4847347552333,4.95380675519499,0.0122078952702519,-20.6330217637325,-4.3364477467341,-2.73986506860203,6.18033255204122,0.657830157668648,-12.9056074825933,7.42587734538922,0.300520403306056,336,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
11,-13.3745383187835,5.34402129271341,0.0128182494675225,-22.164671124609,-4.5844055129579,-0.885458621445963,6.26669893785337,0.887724301039725,-11.193261098387,9.42234385549508,0.206141879793488,335,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
12,-12.4358260909317,5.59733171965632,0.0269955836833479,-21.6426174712589,-3.22903471060449,0.0758073990722171,6.49932690139459,0.990701000724548,-10.6146340274299,10.7662488255744,0.230379653334429,334,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
13,-12.5368211070063,6.03801666292286,0.0386603272277419,-22.4684747146084,-2.60516749940421,2.37518046919039,6.97811261950326,0.733796199181615,-9.10279338227539,13.8531543206562,0.19060320967889,333,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
14,-12.1155208395132,6.14799245959859,0.0496259551019073,-22.2280685351543,-2.00297314387216,3.98984633194229,6.73510868958501,0.554004303909025,-7.08842162403398,15.0681142879186,0.147178265886346,332,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
15,-9.73468921811158,6.40297594031975,0.129416517697624,-20.2666474168295,0.797268980606368,3.97802601132867,6.29798277063487,0.528077808936233,-6.38123379142796,14.3372858140853,0.19719035835421,331,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
16,-7.03852740980774,6.41130112898605,0.273108694906072,-17.5841793252985,3.50712450568303,3.72464837061272,5.87480958309741,0.526534479266639,-5.93855347979432,13.3878502210198,0.279783870613726,330,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
17,-4.15846735946255,6.18670801635773,0.501970445019792,-14.3346964790583,6.01776176013321,3.5238177064862,5.28509834689705,0.505419434873217,-5.16939547820264,12.217030891175,0.39096867347905,329,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
18,-0.996141922362219,6.13196347712727,0.871054756780532,-11.082324288049,9.09004044332453,2.82367625732452,5.01594956472226,0.573875244463427,-5.42682657681455,11.0741790914636,0.657229166037004,328,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
