"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type","spec"
11,-5.47492616524439,5.1602895428802,0.289492548715938,-13.9628471359706,3.01299480548185,335,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
12,-4.09767631208445,5.1910136157684,0.430469680125725,-12.6361338855356,4.44078126136668,334,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
13,-4.76606615894584,5.42794162192845,0.380565082441755,-13.6942356226557,4.16210330476402,333,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
14,-5.07793613217987,5.15794713563684,0.325617165998562,-13.5620041858561,3.40613192149634,332,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
15,-3.68261461855981,4.87371564608731,0.450440560145711,-11.6991634757567,4.33393423863704,331,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
16,-1.94281272728097,4.44203850329606,0.6621392564208,-9.24931587048559,5.36369041592364,330,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
17,-0.290192338866318,3.9623475567961,0.941663187925507,-6.80767408890468,6.22728941117204,329,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
18,1.20720721104805,3.84797848138982,0.753936218744198,-5.1221541504972,7.53656857259331,328,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
19,2.22737150106914,3.5229030464477,0.527677733662422,-3.56728835227876,8.02203135441704,327,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
20,3.16432549235445,3.61369688026027,0.381888778434553,-2.77967692784487,9.10832791255377,326,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
21,3.9235439069001,3.57988658730613,0.273920096330994,-1.96484553030532,9.81193334410551,325,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
22,5.43764651219035,3.67326080928694,0.139790438750173,-0.60432985270398,11.4796228770847,324,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
23,4.68328465189847,3.54707489944415,0.187694950996361,-1.15113436152077,10.5177036653177,323,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
24,4.53114863630359,3.68251048864946,0.219458122513041,-1.52604209723832,10.5883393698455,322,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
