"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","fci_label","npl_type"
2,0.0123061087427247,0.00403094481396404,0.00244881648111048,0.00567579454543474,0.0189364229400147,344,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
3,0.0179135461679522,0.00584399544238611,0.00235290460975257,0.00830102906865551,0.0275260632672488,343,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
4,0.0198149981895339,0.00715132471387539,0.00590752017029069,0.00805211579640824,0.0315778805826595,342,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
5,0.0213245867654667,0.00841665063136945,0.0117515046998434,0.00748042844767526,0.0351687450832581,341,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
6,0.0236639988128076,0.00882152726903319,0.00767577156320842,0.00915387768908707,0.0381741199365282,340,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
7,0.0242945143978735,0.00933067232193567,0.00964088605650947,0.00894692418724187,0.0396421046085051,339,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
8,0.0247439795917322,0.00940278975256616,0.00890225447470429,0.00927776676376157,0.0402101924197027,338,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
9,0.024872568471689,0.00964073260897948,0.0103188860489386,0.00901497447333978,0.0407301624700382,337,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
10,0.0225053275420342,0.00937828591028336,0.0169697107223363,0.0070794199479167,0.0379312351361516,336,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
11,0.0227794561049453,0.0100399699812582,0.0239331495167456,0.00626517506678883,0.0392937371431017,335,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
12,0.0184734322892654,0.010168734988859,0.0701914265552074,0.00174735166133234,0.0351995129171985,334,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
13,0.0182109561357068,0.0102787808475175,0.077389434452961,0.00130386617802829,0.0351180460933854,333,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
14,0.0177865376382723,0.009965809550381,0.0752451640020485,0.00139423965382053,0.0341788356227241,332,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
15,0.0150297553147075,0.0100296613632184,0.134981237020734,-0.00146756955567727,0.0315270801850923,331,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
16,0.0133440635208377,0.0102631300567815,0.194472982546642,-0.00353728317693403,0.0302254102186095,330,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
17,0.0147388023442534,0.00975345180676914,0.131746587375829,-0.00130419823540717,0.030781802923914,329,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
18,0.0143081512593463,0.00959457439194464,0.136883658736147,-0.00147351922829956,0.0300898217469922,328,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
19,0.016038623667391,0.00914771991651426,0.0805214967138042,0.000991963384376324,0.0310852839504057,327,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
20,0.017057176527564,0.00950772888256171,0.0737668521130021,0.0014183541910111,0.0326959988641169,326,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
21,0.0163479947809424,0.00958714045377943,0.0891460845959513,0.000578552033450155,0.0321174375284347,325,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
22,0.0163848939978774,0.00986312855007347,0.0976691586645736,0.000161491229200398,0.0326082967665543,324,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
23,0.0160796150108124,0.00965603287153267,0.0968685899056919,0.000196854320109269,0.0319623757015155,323,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
24,0.0129075192738246,0.00886363841790235,0.14633711040078,-0.00167186852584846,0.0274869070734977,322,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
1,0.00421937036696044,0.00227564610302049,0.0646002577373409,0.000476265620749208,0.00796247511317167,345,"FCI_EXO","Exogenous (External)","Level"
2,0.00223570706937301,0.00253066788574138,0.37763298174022,-0.0019268711810983,0.00639828531984432,344,"FCI_EXO","Exogenous (External)","Level"
3,0.000294821612199277,0.00259254236710219,0.909529198363575,-0.00396953110335411,0.00455917432775267,343,"FCI_EXO","Exogenous (External)","Level"
4,-0.00111615905921027,0.0032133914507303,0.728552056643848,-0.00640171764175886,0.00416939952333831,342,"FCI_EXO","Exogenous (External)","Level"
5,-0.00190901771945134,0.00330984508292182,0.564488387452174,-0.00735322840874279,0.00353519296984011,341,"FCI_EXO","Exogenous (External)","Level"
6,-0.00259612412740038,0.00319462792739181,0.417004653970028,-0.00785081946053126,0.00265857120573049,340,"FCI_EXO","Exogenous (External)","Level"
7,-0.00309779369430938,0.00324694975728205,0.340754476565157,-0.00843855077910396,0.0022429633904852,339,"FCI_EXO","Exogenous (External)","Level"
8,-0.00215032359822966,0.0032770812560205,0.512175959716645,-0.00754064258800967,0.00323999539155034,338,"FCI_EXO","Exogenous (External)","Level"
9,-0.00234016666518647,0.00307463792708189,0.447135931721566,-0.00739749601110967,0.00271716268073672,337,"FCI_EXO","Exogenous (External)","Level"
10,-0.0010167578779924,0.0032278482891824,0.752967168830792,-0.00632609584370316,0.00429258008771837,336,"FCI_EXO","Exogenous (External)","Level"
11,5.67775786646205e-06,0.00338690685846693,0.998663471055826,-0.00556528827242967,0.0055766437881626,335,"FCI_EXO","Exogenous (External)","Level"
12,0.000573232778663774,0.00349591289031815,0.869855528024129,-0.00517703221848244,0.00632349777580999,334,"FCI_EXO","Exogenous (External)","Level"
13,0.00107490135784912,0.00395714480630588,0.786076303721617,-0.00543402262917529,0.00758382534487353,333,"FCI_EXO","Exogenous (External)","Level"
14,0.0019011294347349,0.00455674743284899,0.676802281190127,-0.00559405310728858,0.00939631197675837,332,"FCI_EXO","Exogenous (External)","Level"
