fecha,FCI_EXP,FCI_EXP_exCredit,FCI_EXP_ENDO_exCredit,FCI_EXP_PCA
2012-10-01,-0.640264589309951,-0.674641106641503,-0.355704031016503,-3.30964155333383
2012-11-01,-0.617819219688648,-0.674607591638328,-0.368302667280562,-3.25000615120678
2012-12-01,-0.614688279100876,-0.685571002486396,-0.39164122229984,-3.21001035684968
2013-01-01,-0.565366606871972,-0.65208098158709,-0.289017413707377,-3.02383900034387
2013-02-01,-0.528208652744024,-0.589653969223447,-0.230445795359301,-2.87092328295018
2013-03-01,-0.552519713600659,-0.623543814166537,-0.262057608323689,-2.96109393623495
2013-04-01,-0.5849589172275,-0.653161265978267,-0.329524363814633,-2.95471157811852
2013-05-01,-0.601656776376267,-0.673027746092052,-0.384038318990971,-2.8180954132692
2013-06-01,-0.598560586957197,-0.655948351416813,-0.419728371820917,-2.83645554414591
2013-07-01,-0.626499189907467,-0.683007549042537,-0.402125712156287,-2.89250347519446
2013-08-01,-0.618235594309705,-0.671508553231867,-0.404907519674733,-2.8381619269722
2013-09-01,-0.644180476956046,-0.695705093514988,-0.431154947299966,-2.92330252265868
2013-10-01,-0.633384808778817,-0.67938706144841,-0.413313323088986,-2.95982782124725
2013-11-01,-0.657160829505099,-0.697430663765145,-0.391713789688741,-3.07492593274278
2013-12-01,-0.682647934997725,-0.694081215110186,-0.409552663650258,-3.09065203189941
2014-01-01,-0.673284971608883,-0.671128754096187,-0.350293638752192,-3.17548682156835
2014-02-01,-0.644090683185343,-0.651364984400594,-0.329528914476845,-3.12058126173312
2014-03-01,-0.692026495664867,-0.703134830360582,-0.382286984391921,-3.15699508318969
2014-04-01,-0.689274479282339,-0.703197894038126,-0.374744620575262,-3.18029662109907
2014-05-01,-0.669193486302674,-0.691330782937613,-0.37058687362656,-3.00110989542416
2014-06-01,-0.70097955233342,-0.737807930929405,-0.40026067380227,-3.13734718497695
2014-07-01,-0.688921298535097,-0.725152536419372,-0.373936212512914,-3.16532782787505
2014-08-01,-0.658578097575804,-0.696799844359403,-0.366487132201504,-3.06589260203201
2014-09-01,-0.702866277242458,-0.722924132062542,-0.405514183016975,-3.10446188322936
2014-10-01,-0.667339294271332,-0.676441110642753,-0.384389184837075,-3.24658295795143
2014-11-01,-0.717230897094878,-0.736503611778684,-0.384391367595127,-3.39381964329279
2014-12-01,-0.647274532583548,-0.67478396165769,-0.376484410953803,-3.1883792983121
2015-01-01,-0.59896307517082,-0.615889700499577,-0.372341651739649,-2.94253298562309
2015-02-01,-0.595927553141023,-0.600264101225445,-0.307229079561576,-2.96795707873863
2015-03-01,-0.625178111993074,-0.625800257764345,-0.332772571184924,-2.96854183292586
2015-04-01,-0.643359099852224,-0.634144828141912,-0.317910666996629,-3.04084148660196
2015-05-01,-0.607488661302002,-0.594056931170544,-0.300611969068962,-2.86221861857093
2015-06-01,-0.603187819070273,-0.593748570374517,-0.316209230056019,-2.85436775385931
2015-07-01,-0.584526784922939,-0.575960048675667,-0.297853823415304,-2.85270168628133
2015-08-01,-0.52834771480208,-0.501657395238693,-0.298690659859677,-2.63397286996067
2015-09-01,-0.422915215766465,-0.401538098615685,-0.284130684661699,-2.38214776857249
2015-10-01,-0.43280097606228,-0.436688246401415,-0.228604575294924,-2.39220490503728
2015-11-01,-0.405427141267664,-0.413318236694024,-0.197484535397509,-2.31960130612032
2015-12-01,-0.362815709874618,-0.368126479292439,-0.199112902415068,-2.2120555934776
2016-01-01,-0.202259734210508,-0.203200797586567,-0.0377029847567821,-2.11595682773612
2016-02-01,-0.19672671935417,-0.207962170329475,-0.019702619710038,-2.11105938911291
2016-03-01,-0.276541500261571,-0.314095460127163,-0.0693953708701137,-2.17153646695269
2016-04-01,-0.266281737861864,-0.323448924112478,-0.0695921569410185,-2.08628418225442
2016-05-01,-0.258359492483351,-0.319480308002857,-0.103197507569978,-1.93698998925479
2016-06-01,-0.224833557943856,-0.297093448898907,-0.120762099794431,-1.87962322059376
2016-07-01,-0.242625181268502,-0.32322605530882,-0.119622408855919,-1.73704607231485
2016-08-01,-0.245681863478554,-0.350055516249846,-0.138783301176305,-1.74582311463547
2016-09-01,-0.178993461864892,-0.292236600050661,-0.131059266662152,-1.47154454665219
2016-10-01,-0.17061288129033,-0.276822166947928,-0.135199128649542,-1.37488956775114
2016-11-01,-0.174893662313725,-0.277156961171396,-0.108484197063499,-1.59668222662347
2016-12-01,-0.210193290736437,-0.323056801568115,-0.122953837083277,-1.7335969591382
2017-01-01,-0.174578543249759,-0.291250200612923,-0.0481263526861118,-1.76660951408358
2017-02-01,-0.155853990553655,-0.277738996659096,-0.0272064660065648,-1.71708224841759
2017-03-01,-0.216255443749028,-0.3268856230511,-0.112155688326172,-1.73148933675965
2017-04-01,-0.197078979759577,-0.304260495241681,-0.0814885604610511,-1.80927002073347
2017-05-01,-0.223547028683669,-0.334336032879586,-0.0941956110363544,-1.83551641655654
2017-06-01,-0.249474937024263,-0.350667581729472,-0.12232161537503,-1.83854417372381
2017-07-01,-0.222909048809224,-0.315582737514117,-0.110309512127843,-1.6544101275848
2017-08-01,-0.205154062904886,-0.282984795122709,-0.122795556017503,-1.49440142344236
2017-09-01,-0.194661258458867,-0.269452730339228,-0.0843012395931488,-1.50510510930338
2017-10-01,-0.232594733736064,-0.316692065033638,-0.124801230460868,-1.60122169377534
2017-11-01,-0.257681577572989,-0.343486765709021,-0.134417200416153,-1.78187826548407
2017-12-01,-0.287467800072208,-0.37669149674138,-0.196084394548175,-1.7804066936607
2018-01-01,-0.246535349240311,-0.329711341386433,-0.139502858950007,-1.77114561579605
2018-02-01,-0.147695038910931,-0.198502532904985,-0.111871850271884,-1.71167145528727
2018-03-01,-0.156702727737247,-0.214503900675666,-0.113730983180917,-1.62195796663113
2018-04-01,-0.15780515812309,-0.20933519886665,-0.115846944481232,-1.51945912114444
2018-05-01,-0.191800874133829,-0.229539151639525,-0.130823241117109,-1.37673670315939
2018-06-01,-0.200606733839787,-0.239034143055702,-0.139397616482163,-1.44695595835646
2018-07-01,-0.204497641014893,-0.237044123009157,-0.141420292636656,-1.40561362604917
2018-08-01,-0.208623160146198,-0.236440261057378,-0.124689634950554,-1.47436903034965
2018-09-01,-0.201931601529522,-0.222686989273629,-0.10728611267921,-1.50658532182971
2018-10-01,-0.150790740602025,-0.157637617084787,-0.120264036240445,-1.49683890852777
2018-11-01,-0.153358067998698,-0.169001481242027,-0.125005443561234,-1.54123287913075
2018-12-01,-0.128182396174176,-0.13551035410928,-0.153446585050439,-1.569530463059
2019-01-01,-0.156036298153709,-0.160946100269919,-0.0880939235501396,-1.7343444393357
2019-02-01,-0.193338670115446,-0.202416909748708,-0.0685484033307548,-1.85430821653557
