sample,index,horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sd_x,coef_per_sd
postIT,FCI_OS_EXP,5,-11.335190525874,4.56598983996538,0.0140907495876231,-18.8455754747646,-3.82480557698335,169,0.127763704053607,-1.44822592773901
postIT,FCI_OS_EXP,6,-10.5549293659989,3.76402928885882,0.00568220001774517,-16.7462065937299,-4.36365213826785,168,0.127763704053607,-1.3485368718242
postIT,FCI_OS_EXP,7,-15.6108691755574,4.50762911078021,0.000689119748161542,-23.0252592673762,-8.19647908373849,167,0.127763704053607,-1.99450246936548
postIT,FCI_OS_EXP,8,-13.4134827786797,5.03081657370173,0.00848349386025174,-21.6884396664606,-5.13852589089886,166,0.127763704053607,-1.71375624406339
postIT,FCI_OS_EXP,9,-12.2513420049032,4.63548689523584,0.00906833828324665,-19.8760394372179,-4.62664457258854,165,0.127763704053607,-1.56527683417398
postIT,FCI_OS_EXP,10,-15.282721067059,4.39701606455706,0.000663217739118046,-22.5151688886095,-8.05027324550838,164,0.127763704053607,-1.95257705154554
postIT,FCI_OS_EXP,11,-15.0795150810555,5.2729135923362,0.0048353542840749,-23.7526861280114,-6.40634403409955,163,0.127763704053607,-1.92661470208787
postIT,FCI_OS_EXP,12,-10.6252129429527,4.50325454211361,0.0195814423274017,-18.0324075096339,-3.21801837627141,162,0.127763704053607,-1.35751656194996
postIT,FCI_OS_EXP,13,-12.1331650881731,3.8258829686369,0.0018403318807107,-18.4261825654274,-5.84014761091886,161,0.127763704053607,-1.55017811355891
postIT,FCI_OS_EXP,14,-12.6429977445345,3.53988817409873,0.000478223102940289,-18.4655956467034,-6.82039984236557,160,0.127763704053607,-1.61531622218312
postIT,FCI_OS_EXP,15,-11.5070762134542,3.60726573014968,0.00173722636379293,-17.4405003330687,-5.57365209383978,159,0.127763704053607,-1.47018667985807
