state,horizon,state_value,state_sd_units,marginal_effect,se,ci_lower,ci_upper
predetermined,18,5.56009183069228,0.4,-6.0296297959082,2.32920890299313,-9.86083750792412,-2.19842208389229
predetermined,18,6.95011478836534,0.5,-6.18768652792324,2.39693912279619,-10.1303005376364,-2.24507251821005
predetermined,18,8.34013774603841,0.6,-6.34574325993828,2.4726126046711,-10.4128290707775,-2.27865744909909
predetermined,18,9.73016070371148,0.7,-6.50379999195332,2.55552380480887,-10.707262591054,-2.30033739285262
predetermined,18,11.1201836613846,0.8,-6.66185672396835,2.64499217974083,-11.0124817040733,-2.31123174386338
predetermined,18,12.5102066190576,0.9,-6.81991345598339,2.74037556451929,-11.3274301424921,-2.31239676947466
predetermined,18,13.9002295767307,1,-6.97797018799843,2.84107826856593,-11.6511280825021,-2.30481229349475
predetermined,18,15.2902525344038,1.1,-7.13602692001347,2.94655495645334,-11.9826785271476,-2.28937531287935
predetermined,18,16.6802754920768,1.2,-7.2940836520285,3.05631140174899,-12.3212685462885,-2.26689875776855
predetermined,18,18.0702984497499,1.3,-7.45214038404354,3.16990308168892,-12.6661669650442,-2.23811380304288
predetermined,18,19.460321407423,1.4,-7.61019711605858,3.28693239965775,-13.0167197951799,-2.20367443693722
predetermined,18,20.850344365096,1.5,-7.76825384807362,3.40704513358978,-13.3723443932461,-2.1641633029011
predetermined,18,22.2403673227691,1.6,-7.92631058008865,3.52992653953233,-13.7325230515107,-2.12009810866665
predetermined,18,23.6303902804422,1.7,-8.08436731210369,3.65529740191554,-14.0967965012308,-2.07193812297662
predetermined,18,25.0204132381152,1.8,-8.24242404411873,3.78291021677561,-14.4647576346139,-2.0200904536236
predetermined,18,26.4104361957883,1.9,-8.40048077613377,3.91254561758697,-14.8360456258348,-1.96491592643276
predetermined,18,27.8004591534614,2,-8.55853750814881,4.04400910001345,-15.2103405437307,-1.90673447256692
contemporaneous,6,-38.053223339439,-2,4.11136801331593,2.54470346413117,-0.0742967091761937,8.29703273580806
contemporaneous,6,-36.150562172467,-1.9,3.81247775899977,2.48438193503671,-0.27396687757808,7.89892239557762
