horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sample,fci,outcome
8,-6.27846035375204,2.44783898313449,0.01126994201744,-10.304797183354,-2.25212352415007,166,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
9,-5.21413169203139,1.98784896387012,0.00959199224275702,-8.48385227008489,-1.94441111397789,165,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
10,-6.41241979863109,2.20491116040689,0.00417603446519727,-10.0391759179321,-2.78566367933004,164,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
11,-6.55462677429907,2.41492713285896,0.0074113737878571,-10.5268284276057,-2.58242512099248,163,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
12,-4.68990504490614,3.06839684175325,0.128491816582479,-9.73696871899041,0.357158629178131,162,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
13,-5.09406361722021,3.28947718621402,0.123586694849008,-10.5047720977385,0.316644863298036,161,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
14,-4.3091156880953,3.47669712192467,0.217135699614136,-10.0277735589048,1.40954218271425,160,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
15,-3.88118331431543,3.88010862542156,0.318809111270366,-10.2633940598058,2.50102743117491,159,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
16,-2.82612987223702,3.55681053358649,0.428145432759678,-8.67656257878596,3.02430283431192,158,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
17,-1.33954321940555,3.45785271012526,0.699030440922561,-7.02720479111905,4.34811835230796,157,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
18,-0.341005661604119,3.83789036741859,0.929321838925558,-6.6537735522947,5.97176222908646,156,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
1,-0.944999617157241,0.772855002998489,0.22320431533977,-2.2162329719469,0.326233737632413,173,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
2,-1.59239279335346,0.905685397480449,0.0806105286256743,-3.08211270427616,-0.102672882430755,172,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
3,-1.63406816514133,1.1423674500878,0.154545782752327,-3.51309540872955,0.244959078446893,171,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
4,-1.72998879349574,1.44945658715497,0.234434559384428,-4.11413271798629,0.654155130994807,170,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
5,-1.86619002634809,1.63858841390508,0.256468259966711,-4.56142812204051,0.829048069344332,169,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
6,-2.09054289417255,1.92282010059301,0.278602604500956,-5.25330051060816,1.07221472226305,168,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
7,-1.8785010277768,2.36206584222448,0.4276596680223,-5.76375359545791,2.00675153990432,167,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
8,-1.78950252879723,2.51171344928066,0.477249313655816,-5.92090350570931,2.34189844811485,166,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
9,-2.6153509693554,2.75980312136612,0.344787988277834,-7.15482314320645,1.92412120449566,165,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
10,-2.47645492106482,3.02049428394521,0.413557658782451,-7.44472589919828,2.49181605706864,164,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
11,-2.63923470252197,3.2184997505996,0.413488648051622,-7.93319569063813,2.65472628559419,163,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
12,-2.72937081245488,3.40950086217178,0.424667758147696,-8.33750067169231,2.87875904678255,162,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
13,-2.14307522147407,3.5660500506315,0.5487695996808,-8.00870558114577,3.72255513819763,161,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
14,-1.41838366336734,3.51453423928626,0.687102702841099,-7.19927805390247,4.36251072716779,160,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
15,-1.4186375841534,3.43588723996933,0.680286010119679,-7.07016917261322,4.23289400430643,159,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
16,-1.24373628230388,3.20647533251303,0.698663948706597,-6.51791886271836,4.03044629811059,158,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
17,-0.756818150439948,3.14311569312131,0.810058802224469,-5.92678339819862,4.41314709731872,157,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
18,-0.860113154757381,3.03718977819666,0.77743222992024,-5.85584577716409,4.13561946764933,156,post-IT,FCI_ENDO_exCredit_AVG,USD (in dollars)
