horizon,gamma,coef,se,p_value,ci_lower,ci_upper,first_stage_F,eff_F,partial_R2,ar_lo,ar_hi,n_obs
6,-0.287386834641462,-9.70110780342905,21.2924445735482,0.648993780544528,-44.7240624868931,25.321846880035,11.9704988052027,14.2460700544804,0.0378848621958932,-33,9,318
6,-0.295839388601505,-8.08425650285756,21.2324814939218,0.703655066739408,-43.0085806973149,26.8400676915998,11.9704988052027,14.2460700544804,0.0378848621958932,-31,11,318
6,-0.304291942561548,-6.46740520228604,21.1810139625358,0.760316376025786,-41.3070728410728,28.3722624365007,11.9704988052027,14.2460700544804,0.0378848621958932,-29,13,318
6,-0.312744496521591,-4.85055390171449,21.1381040349616,0.818658197602797,-39.6196409904985,29.9185331870696,11.9704988052027,14.2460700544804,0.0378848621958932,-27,15,318
6,-0.321197050481634,-3.23370260114302,21.1038039112197,0.878319802291005,-37.9463710069854,31.4789658046993,11.9704988052027,14.2460700544804,0.0378848621958932,-24,17,318
6,-0.329649604441677,-1.61685130057146,21.0781556231424,0.938906746352248,-36.2873320267449,33.0536294256019,11.9704988052027,14.2460700544804,0.0378848621958932,-22,19,318
6,-0.33810215840172,1.31407386234532e-14,21.0611907793141,1,-34.6425760412716,34.6425760412716,11.9704988052027,14.2460700544804,0.0378848621958932,-20,21,318
12,0,-149.585672762961,44.4899047232405,0.00087407141496746,-222.765053909708,-76.4062916162131,12.0527353998938,13.3966441741876,0.0388731787331231,-287,-99,312
12,-0.0198088345300162,-145.846030943887,43.7284822136126,0.00096001572591615,-217.77298351403,-73.9190783737432,12.0527353998938,13.3966441741876,0.0388731787331231,-280,-96,312
12,-0.0396176690600324,-142.106389124813,42.9778607613966,0.00106027700279173,-212.798679276811,-71.414098972814,12.0527353998938,13.3966441741876,0.0388731787331231,-273,-94,312
12,-0.0594265035900486,-138.366747305739,42.2386162066494,0.00117784677374827,-207.843088370657,-68.8904062408202,12.0527353998938,13.3966441741876,0.0388731787331231,-266,-91,312
12,-0.0792353381200648,-134.627105486665,41.5113563614551,0.00131645362719587,-202.907210557479,-66.3470004158502,12.0527353998938,13.3966441741876,0.0388731787331231,-259,-88,312
12,-0.099044172650081,-130.887463667591,40.7967221646403,0.00148076801924046,-197.992100087831,-63.7828272473506,12.0527353998938,13.3966441741876,0.0388731787331231,-252,-86,312
12,-0.118853007180097,-127.147821848517,40.095388716009,0.00167666906864184,-193.098867402073,-61.1967762949601,12.0527353998938,13.3966441741876,0.0388731787331231,-245,-83,312
12,-0.138661841710113,-123.408180029443,39.408066150094,0.00191159310457048,-188.228680567568,-58.587679491317,12.0527353998938,13.3966441741876,0.0388731787331231,-238,-81,312
12,-0.15847067624013,-119.668538210369,38.73550030126,0.00219499010751815,-183.382766372676,-55.9543100480613,12.0527353998938,13.3966441741876,0.0388731787331231,-231,-78,312
12,-0.178279510770146,-115.928896391295,38.0784731047107,0.00253892250652293,-178.562410986352,-53.2953817962372,12.0527353998938,13.3966441741876,0.0388731787331231,-224,-75,312
12,-0.198088345300162,-112.189254572221,37.437802671599,0.00295885154437685,-173.768960081694,-50.6095490627474,12.0527353998938,13.3966441741876,0.0388731787331231,-217,-73,312
12,-0.217897179830178,-108.449612753147,36.8143429693314,0.00347467009446783,-169.003818310087,-47.8954071962064,12.0527353998938,13.3966441741876,0.0388731787331231,-210,-70,312
12,-0.237706014360195,-104.709970934073,36.2089830311161,0.00411205784093506,-164.268448001028,-45.1514938671169,12.0527353998938,13.3966441741876,0.0388731787331231,-203,-67,312
12,-0.257514848890211,-100.970329114998,35.6226456137509,0.00490425531836676,-159.564366954384,-42.3762912756133,12.0527353998938,13.3966441741876,0.0388731787331231,-196,-65,312
