draw,beta12_perm,beta12_obs,p_perm
193,-0.3001614252389,1.3473959804755,0.182
194,-1.89689461836642,1.3473959804755,0.182
195,-0.624930120622194,1.3473959804755,0.182
196,0.346282217809544,1.3473959804755,0.182
197,0.413172430102573,1.3473959804755,0.182
198,1.17246974489298,1.3473959804755,0.182
199,0.371574246922588,1.3473959804755,0.182
200,0.73403743873393,1.3473959804755,0.182
201,1.43517494015355,1.3473959804755,0.182
202,0.691311784613799,1.3473959804755,0.182
203,-0.733273435770206,1.3473959804755,0.182
204,1.24650673152762,1.3473959804755,0.182
205,1.58193604597884,1.3473959804755,0.182
206,-0.0670799581251823,1.3473959804755,0.182
207,0.0246472437891492,1.3473959804755,0.182
208,-0.895407923765299,1.3473959804755,0.182
209,-1.77755301486057,1.3473959804755,0.182
210,-0.453852755545908,1.3473959804755,0.182
211,-0.998947001215912,1.3473959804755,0.182
212,-0.441490577683672,1.3473959804755,0.182
213,1.94791712699918,1.3473959804755,0.182
214,0.509447433662586,1.3473959804755,0.182
215,-1.56338973864889,1.3473959804755,0.182
216,0.399533536709221,1.3473959804755,0.182
217,0.0553703555262513,1.3473959804755,0.182
218,1.97484273004345,1.3473959804755,0.182
219,0.777184675688988,1.3473959804755,0.182
220,1.92694858594293,1.3473959804755,0.182
221,-0.816857964962363,1.3473959804755,0.182
222,-0.257408473236333,1.3473959804755,0.182
223,0.581647748369193,1.3473959804755,0.182
224,1.6046154476131,1.3473959804755,0.182
225,-0.443673847065364,1.3473959804755,0.182
226,1.7200642242138,1.3473959804755,0.182
227,1.86178025862034,1.3473959804755,0.182
228,0.717904500436008,1.3473959804755,0.182
229,0.351153649833594,1.3473959804755,0.182
230,-1.46472638835007,1.3473959804755,0.182
231,0.440042730860851,1.3473959804755,0.182
232,0.397919006103833,1.3473959804755,0.182
233,0.429087826172237,1.3473959804755,0.182
234,-0.106624568002814,1.3473959804755,0.182
235,-0.0583797856791312,1.3473959804755,0.182
236,-1.90679767464618,1.3473959804755,0.182
237,1.8710077966001,1.3473959804755,0.182
238,0.709867887008394,1.3473959804755,0.182
239,-0.00866722240236397,1.3473959804755,0.182
240,-0.0708707681275485,1.3473959804755,0.182
241,-1.06443566710531,1.3473959804755,0.182
242,-0.102414290171292,1.3473959804755,0.182
243,0.064420817574955,1.3473959804755,0.182
244,0.904599940515265,1.3473959804755,0.182
245,-0.25060931139868,1.3473959804755,0.182
246,0.13756861592584,1.3473959804755,0.182
247,0.209458596705434,1.3473959804755,0.182
