level,spec,exposure,h,b,se_bank,p_bank,p_wcb,se_twoway,p_twoway,se_dk,p_dk,n
bank,joint,ext_fund_share,5,-0.152392187689743,0.126471381368779,0.243015479843584,,0.166392519000244,0.359740533081931,0.242263402754717,0.529326066700975,1674
bank,joint,tier1,5,0.206142220496297,0.131353879065719,0.133067028943771,,0.150273629068974,0.170132221935748,0.26048119351505,0.428716424001287,1674
bank,joint,size,5,-0.00870500645977529,0.221631140295834,0.969079316726008,,0.191253858141174,0.963696455998072,0.166352371407817,0.958266770391429,1674
bank,joint,liquidity,5,-0.0329314742123251,0.191271482235384,0.865123457503306,,0.226283905862756,0.884291114619886,0.372577911793439,0.929568175399815,1674
bank,joint,fc_dep_share,6,0.302864466982377,0.223682069631146,0.191624903532741,,0.224948446576899,0.178182322551723,0.273024789662086,0.267303837071363,1654
bank,joint,ext_fund_share,6,-0.312743929525566,0.216452667492264,0.164788032154169,,0.253443802643339,0.217211318602973,0.289004445170425,0.27918931090643,1654
bank,joint,tier1,6,0.240987780997124,0.212136042383445,0.270080717644476,,0.213263932280065,0.258477138257019,0.313403917736942,0.44193087650871,1654
bank,joint,size,6,-0.0127702910209261,0.369481829145451,0.972788969363117,,0.316997935062574,0.967865838883355,0.272943891412223,0.962682799874456,1654
bank,joint,liquidity,6,0.105479836630834,0.413497044971879,0.801392807154828,,0.432958322289935,0.807520610759757,0.515034157291361,0.837727110854785,1654
bank,joint,fc_dep_share,7,0.363068118298669,0.219930419707848,0.115205736307882,,0.253816654612719,0.152592331036916,0.367853805357425,0.323647419738327,1634
bank,joint,ext_fund_share,7,-0.498078440721733,0.191756464918089,0.0176810369298774,,0.2471290256769,0.0438565686257334,0.349504633738207,0.154128803440574,1634
bank,joint,tier1,7,0.177608049397517,0.253698868913156,0.492364754292654,,0.254445135948577,0.485164058304131,0.334272299714035,0.595191884985728,1634
bank,joint,size,7,-0.0311550030404886,0.390572559581736,0.937256343229475,,0.333022279264779,0.925464795609235,0.270618466342086,0.90834589190836,1634
bank,joint,liquidity,7,0.0242804948134413,0.415887506279312,0.954053723197702,,0.441716130780813,0.956163520094681,0.568402079734307,0.965927039300744,1634
bank,joint,fc_dep_share,8,0.475242499240981,0.215254012911931,0.0397488724910209,,0.261241986332893,0.0688861316896272,0.446453797771261,0.287109930029218,1614
bank,joint,ext_fund_share,8,-0.458795727212275,0.201386267775223,0.0344563275314616,,0.323638079929887,0.156301816933218,0.39114144931286,0.240809331826438,1614
bank,joint,tier1,8,0.280830872290066,0.308800207812248,0.374517931032259,,0.293441943264107,0.338555330671544,0.333058502714943,0.3991234101945,1614
bank,joint,size,8,0.0188874031480891,0.343335185056703,0.956703607673365,,0.277975569099226,0.945828405480231,0.309480125791358,0.951335751747686,1614
bank,joint,liquidity,8,-0.19589490123459,0.427995034682477,0.652356289940386,,0.461147194100329,0.670983152459173,0.595484115668122,0.742180278163352,1614
bank,joint,fc_dep_share,9,0.422959950743345,0.233615381854887,0.0869444092369134,,0.261320170920574,0.105543965547592,0.420660069729278,0.314671880468211,1594
bank,joint,ext_fund_share,9,-0.277950850305995,0.227571780267736,0.237699949850724,,0.367518459576403,0.449474829412376,0.407308727255057,0.494980817978032,1594
bank,joint,tier1,9,0.348963808971872,0.331388231076132,0.306255841579484,,0.29669575003903,0.239528069525314,0.332256748429898,0.293587749784308,1594
bank,joint,size,9,-0.0487161964681844,0.258378852419577,0.852558422557755,,0.17882636388332,0.785297727281189,0.383714343881738,0.898972421999327,1594
bank,joint,liquidity,9,-0.341073657089608,0.419867772879284,0.427212390900314,,0.446492108788064,0.444929059613406,0.410145626502905,0.405639506023238,1594
bank,joint,fc_dep_share,10,0.467418909293908,0.305986675022182,0.143998537162184,,0.341924492225852,0.171617854273893,0.484534481185813,0.334706991470847,1575
bank,joint,ext_fund_share,10,-0.0321447624364301,0.316215772291123,0.920154736366239,,0.442229979538919,0.942054488443498,0.438067071087766,0.941504820877675,1575
bank,joint,tier1,10,0.65862141727167,0.391649855123277,0.109902745010648,,0.36427083442367,0.0705980632200429,0.389838220867773,0.0911286898069777,1575
bank,joint,size,10,0.182964330905613,0.390174988136125,0.644749938825908,,0.372962853280537,0.62373071534928,0.469373097932974,0.696680194037507,1575
bank,joint,liquidity,10,-0.889401549069883,0.340855942298424,0.0177480873996321,,0.388935394197266,0.0222098884220862,0.362363238544579,0.0141101262009132,1575
bank,joint,fc_dep_share,11,0.55341578518615,0.327840344867577,0.108648694404587,,0.406512769923181,0.173395629661009,0.541560503678704,0.306832509620782,1556
bank,joint,ext_fund_share,11,-0.201710824256655,0.280427782199651,0.481193203370937,,0.43298105991599,0.641311965235052,0.447205599250635,0.651955545610516,1556
bank,joint,tier1,11,0.630911633292516,0.489906685586294,0.214119847755858,,0.452147575960235,0.162905312858262,0.446100163337576,0.157278986889092,1556
bank,joint,size,11,0.377316355483257,0.346698772560928,0.290815236799403,,0.355988841347801,0.28918526124963,0.54833807613539,0.491384154513362,1556
bank,joint,liquidity,11,-0.532865727071578,0.508661200368054,0.308693731172938,,0.487795731010746,0.274659421147389,0.393801128420034,0.176012800330623,1556
bank,joint,fc_dep_share,12,0.683698936891459,0.366239786168735,0.079273102261108,0.0730730730730731,0.436571609809298,0.117333712504929,0.555657421829874,0.218535198582364,1536
bank,joint,ext_fund_share,12,-0.139441153432503,0.278969630013491,0.62359311506126,,0.44322977723414,0.753063553676704,0.444485156210472,0.753738374158811,1536
bank,joint,tier1,12,0.693710567505129,0.450139300696939,0.141699601645064,,0.402771440215422,0.0850074040243558,0.383831295864996,0.070710536015733,1536
bank,joint,size,12,0.366697122728981,0.376748955862358,0.344041378207983,,0.382308450815119,0.337475316503656,0.5508277296734,0.505589987026579,1536
bank,joint,liquidity,12,-0.743693546473136,0.393219925155382,0.0757505384412505,,0.346806908554182,0.0320006628796055,0.29020981035894,0.0103889719658396,1536
bank,joint,fc_dep_share,13,0.784266770376024,0.554925138000151,0.175621310903047,,0.659749896934053,0.2345445737661,0.730491511793589,0.282995194569476,1518
bank,joint,ext_fund_share,13,-0.11678624815412,0.350760400373704,0.743241668068182,,0.477404158464763,0.80674476778423,0.392886887646891,0.766274445220534,1518
bank,joint,tier1,13,0.620852423735531,0.531576653702632,0.258948623385053,,0.512135402482984,0.225404531113304,0.527433104250572,0.239147334958618,1518
