"horizon","coef_fci_low","se_fci_low","p_fci_low","ci_fci_low_lo","ci_fci_low_hi","coef_fci_high","se_fci_high","ci_fci_high_lo","ci_fci_high_hi","coef_interact","se_interact","p_interact","n_obs","target_var","stance_type","stance_label"
8,0.128556905664283,1.41946735000574,0.927891430999181,-2.20625911333185,2.46337292466042,-0.383589468602428,1.2788132274892,-2.48705004403156,1.7198711068267,-0.512146374266711,1.01469544283756,0.614084930025433,338,"IMAEP_yoy","TPM_binary","Binary (> median)"
9,-1.12617512181364,1.54728893998096,0.467229078939974,-3.67123894668321,1.41888870305594,-1.22308329225155,1.40734614182511,-3.53796169800874,1.09179511350565,-0.0969081704379128,1.00488437616825,0.923231938902548,337,"IMAEP_yoy","TPM_binary","Binary (> median)"
10,-0.79661722097165,1.46889254493284,0.587961747707158,-3.21273045110641,1.61949600916312,-0.630553641827199,1.37036877525485,-2.88460969206618,1.62350240841178,0.166063579144451,1.00676239959984,0.869086106662385,336,"IMAEP_yoy","TPM_binary","Binary (> median)"
11,-0.871806403066985,1.59635119929477,0.585351661330596,-3.49757046311532,1.75395765698135,-0.82768056103812,1.38076021438936,-3.09882900762675,1.44346788555051,0.044125842028864,1.00905135455505,0.965146214106517,335,"IMAEP_yoy","TPM_binary","Binary (> median)"
12,0.819968869132611,1.59309178393863,0.607108396356562,-1.80043392974544,3.44037166801066,0.595936562128995,1.26230732567476,-1.48037422083455,2.67224734509254,-0.224032307003616,0.990502783844032,0.821202431275259,334,"IMAEP_yoy","TPM_binary","Binary (> median)"
13,2.30224707699856,1.78860411268979,0.198946323237225,-0.639744884939559,5.24423903893668,1.45246046670306,1.55639213278156,-1.10757677786143,4.01249771126754,-0.849786610295502,1.01835949205679,0.40462936899874,333,"IMAEP_yoy","TPM_binary","Binary (> median)"
14,3.66399701646996,1.88864505720478,0.0532428591635596,0.557452344102705,6.77054168883721,2.53136962083329,1.61177342704543,-0.119761746466391,5.18250098813296,-1.13262739563667,1.07327046019217,0.292069832816493,332,"IMAEP_yoy","TPM_binary","Binary (> median)"
15,5.13823140844231,1.90386134762539,0.00732282878432114,2.00665816558797,8.26980465129666,3.71464508630762,1.49432673126583,1.25669634253448,6.17259383008076,-1.42358632213469,1.10270180110354,0.197624583910813,331,"IMAEP_yoy","TPM_binary","Binary (> median)"
16,3.08134824710518,1.75957271641517,0.080862188211811,0.187108682624832,5.97558781158554,2.05856329715032,1.45038934325966,-0.327114874602096,4.44424146890273,-1.02278494995487,1.11542357078746,0.359854231363354,330,"IMAEP_yoy","TPM_binary","Binary (> median)"
17,1.21033960067289,1.68062456890743,0.471941228451961,-1.55404181703824,3.97472101838403,0.606140989946622,1.32492479567347,-1.57316636565482,2.78544834554806,-0.604198610726272,1.24481548331884,0.627742545345769,329,"IMAEP_yoy","TPM_binary","Binary (> median)"
18,2.53021308422219,1.63460873760693,0.122631350052986,-0.158479026477139,5.21890519492151,2.2912285174852,1.19835821867737,0.320104655106615,4.26235237986378,-0.238984566736987,1.21830130445375,0.844607400442661,328,"IMAEP_yoy","TPM_binary","Binary (> median)"
19,1.16381699821138,1.86569028573014,0.533203559148766,-1.90497043503996,4.23260443146271,0.549922375496899,1.63879841527017,-2.14566114170257,3.24550589269637,-0.613894622714476,1.11657976311796,0.582840642267835,327,"IMAEP_yoy","TPM_binary","Binary (> median)"
20,1.62584188342139,1.52679196189754,0.287738058179211,-0.88550741270613,4.1371911795489,0.743647908912075,1.10769873199802,-1.07835436798441,2.56565018580856,-0.882193974509311,1.11355052091995,0.428812263288372,326,"IMAEP_yoy","TPM_binary","Binary (> median)"
21,3.19700129169767,1.58115549600383,0.0440196185513515,0.596231939321513,5.79777064407382,1.77640450414405,1.01318953835052,0.109856017198911,3.4429529910892,-1.42059678755361,1.22408726696976,0.246701323117913,325,"IMAEP_yoy","TPM_binary","Binary (> median)"
22,3.03017269919424,1.71540223524383,0.0782827049748152,0.208587110872772,5.85175828751571,1.65464066509236,1.23872943821298,-0.382887944163823,3.69216927434854,-1.37553203410188,1.25723530077252,0.274744950121209,324,"IMAEP_yoy","TPM_binary","Binary (> median)"
23,2.84695355738379,1.45560218758842,0.0513625351708738,0.452701019730486,5.24120609503709,1.84595893402956,0.986225497696623,0.223762347151254,3.46815552090787,-1.00099462335422,1.15244680287303,0.385734954359474,323,"IMAEP_yoy","TPM_binary","Binary (> median)"
24,2.25910235335276,1.43541310063312,0.116529576082064,-0.101942091397284,4.6201467981028,1.70970480078961,1.17858085291494,-0.228888189783082,3.64829779136231,-0.549397552563144,0.944633468019934,0.561253008486607,322,"IMAEP_yoy","TPM_binary","Binary (> median)"
1,0.278933699518039,0.436158200831116,0.522915212890966,-0.438482699043651,0.996350098079729,0.985097484065407,0.488841455501533,0.181024842979475,1.78917012515134,0.706163784547368,0.207364947819866,0.000740181196939837,345,"IPC_yoy","TPM_std","Level (Standardized)"
