"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
1,-5.80869148153126,1.76635330912941,-3.28852186677999,0.00138671513828819,-8.7140841285305,-2.90329883453202,112,0.276009018057038,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
2,-5.19162507945376,1.6289841793687,-3.18703222855469,0.00191847794194251,-7.87106561513493,-2.51218454377258,111,0.288200550836622,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
3,-3.30115740181448,1.55882813080256,-2.11771736510483,0.0367038621553819,-5.86520150655905,-0.737113297069905,110,0.220566376369665,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
4,-1.40004735899456,1.47356091327096,-0.95011162849507,0.344392800980638,-3.82383937172222,1.02374465373311,109,0.149878029551759,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
5,4.29546422842129,2.44596231312256,1.75614489453749,0.0822199319375836,0.272214246295038,8.31871421054753,108,0.159880025175569,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
6,2.13183754897541,2.27043287891454,0.93895642931079,0.350109574922297,-1.60269220665704,5.86636730460786,107,0.0928661931535366,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
7,2.29287694468013,1.39251115597263,1.64657707397584,0.102949308365657,0.00239991920816385,4.58335397015209,106,0.0828380179325419,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
8,3.06309855051705,1.48082893982503,2.06850262588667,0.0413389197772902,0.627351697951142,5.49884540308296,105,0.120143143837133,"FBCF","Investment (GFCF)","Demand","FCI_EXO","Exogenous (External)"
1,-1.02970624410113,4.09170091117361,-0.251657260991195,0.801817340210644,-7.75995532824567,5.70054284004342,112,0.103891947113719,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
2,-1.12521403299923,3.77897885800123,-0.297756106948525,0.766507038768648,-7.34108111375548,5.09065304775702,111,0.173808196773315,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
3,1.47465295806101,4.06816913773208,0.36248565586511,0.717761825150598,-5.21688980318964,8.16619571931167,110,0.14681967877048,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
4,1.83278447756112,2.91938965948144,0.627797139586591,0.531597027618838,-2.96918419232155,6.63475314744379,109,0.116794966679806,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
