"proxy","response","horizon","ci_lower","ci_upper","n_boot_valid"
"GFC_PCA","FCI_ENDO_exCredit_AVG",12,-0.474221543320647,0.653217465531516,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",13,-0.511812261739282,0.66880335141365,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",14,-0.546298632227807,0.700130772772955,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",15,-0.600796627705571,0.696363158825234,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",16,-0.643817435903546,0.692204751340805,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",17,-0.66515949700473,0.710999801630897,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",18,-0.68548900880059,0.680098470561081,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",19,-0.703344569382419,0.69150333162381,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",20,-0.718665310064352,0.713381312443915,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",21,-0.7326314037756,0.733391494870767,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",22,-0.74515852608094,0.745120355802628,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",23,-0.757122112078754,0.725857439778072,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",24,-0.765581411477049,0.704463954990629,500
"GFC_PCA","Cred_Real_Total",0,-20.8154927619425,21.7060288782237,500
"GFC_PCA","Cred_Real_Total",1,-21.5847539491918,20.8166789901526,500
"GFC_PCA","Cred_Real_Total",2,-22.4584607537768,19.7755557440718,500
"GFC_PCA","Cred_Real_Total",3,-22.2527567597587,19.4629282185533,500
"GFC_PCA","Cred_Real_Total",4,-22.0534419458022,17.9518200025721,500
"GFC_PCA","Cred_Real_Total",5,-23.6532531179827,17.4146357878796,500
"GFC_PCA","Cred_Real_Total",6,-25.0147088991243,16.8451686832881,500
"GFC_PCA","Cred_Real_Total",7,-20.1901143216769,16.276260974451,500
"GFC_PCA","Cred_Real_Total",8,-20.346291067737,15.7554960451893,500
"GFC_PCA","Cred_Real_Total",9,-19.7695282198932,14.9838459885391,500
"GFC_PCA","Cred_Real_Total",10,-19.4826914220433,14.4707525330421,500
"GFC_PCA","Cred_Real_Total",11,-19.2583278619126,13.9839231909862,500
"GFC_PCA","Cred_Real_Total",12,-19.0756425077336,13.3491730996612,500
"GFC_PCA","Cred_Real_Total",13,-19.2718168458251,13.0908341297745,500
"GFC_PCA","Cred_Real_Total",14,-18.6990166236793,12.41227118757,500
"GFC_PCA","Cred_Real_Total",15,-17.8530436172011,11.7260399635367,500
"GFC_PCA","Cred_Real_Total",16,-16.0783817263873,10.5863348009241,500
"GFC_PCA","Cred_Real_Total",17,-15.347462613212,9.74142234467938,500
"GFC_PCA","Cred_Real_Total",18,-14.5475990452509,9.07719589958844,500
"GFC_PCA","Cred_Real_Total",19,-13.3337569376086,8.2708909124247,500
"GFC_PCA","Cred_Real_Total",20,-11.7214793424091,7.47286437256009,500
"GFC_PCA","Cred_Real_Total",21,-10.3924176447597,6.58318583767829,500
"GFC_PCA","Cred_Real_Total",22,-11.3029427476186,5.66157759256417,500
"GFC_PCA","Cred_Real_Total",23,-9.79564199043209,4.76088604822705,500
"GFC_PCA","Cred_Real_Total",24,-9.2977794386351,4.54110024145401,500
"GFC_PCA","IMAEP_yoy",0,-24.341453461743,22.064477987878,500
"GFC_PCA","IMAEP_yoy",1,-15.3926118393993,16.4311730946141,500
