"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side"
3,2.0539115011109,3.68479522927776,0.557401802084258,0.578511065782872,-4.0070372963401,8.11486029856191,110,0.148987894561448,"Exportaciones","Exports","Demand"
4,0.922849555856227,2.82770893159661,0.326359458551187,0.744848341417231,-3.72831773624354,5.57401684795599,109,0.119857263116883,"Exportaciones","Exports","Demand"
5,7.04043172887194,2.72170034481749,2.58677695444245,0.0111727785145533,2.56363304522382,11.5172304125201,108,0.197316739569642,"Exportaciones","Exports","Demand"
6,1.49325325987431,2.86016228888886,0.522086898941117,0.602812439363161,-3.21129505467435,6.19780157442298,107,0.149370953526487,"Exportaciones","Exports","Demand"
7,-2.03563750606522,2.98093154052553,-0.682886365684983,0.496340600801225,-6.93883356219267,2.86755855006224,106,0.155310348678762,"Exportaciones","Exports","Demand"
8,0.540015736125766,2.24733406506527,0.240291705857306,0.810627389158272,-3.15651985176843,4.23655132401997,105,0.256733654098039,"Exportaciones","Exports","Demand"
1,-5.68829625829207,3.37907574777148,-1.68338820520479,0.0953885615523476,-11.2463812577577,-0.1302112588264,112,0.335100629841737,"Importaciones","Imports","Demand"
2,-7.38439965461825,3.14352306801109,-2.34908397198128,0.0207859178363568,-12.5550349744419,-2.2137643347946,111,0.227841285808829,"Importaciones","Imports","Demand"
3,-4.67706211677935,3.30212014114443,-1.41638157210064,0.159802652083255,-10.1085664075703,0.75444217401157,110,0.141297676650142,"Importaciones","Imports","Demand"
4,-1.24051894522636,2.90481556348937,-0.427056010308691,0.67027531995851,-6.01851536045693,3.5374774700042,109,0.103665861277779,"Importaciones","Imports","Demand"
5,5.89771334759746,2.58792143693973,2.27893832610762,0.0248630823931125,1.64096138578168,10.1544653094132,108,0.165698982617631,"Importaciones","Imports","Demand"
6,3.37357825078093,3.5996262618604,0.937202366402717,0.35100629168492,-2.54728006170991,9.29443656327178,107,0.131237745446992,"Importaciones","Imports","Demand"
7,1.27364425077507,2.62240604651776,0.485677743332813,0.628313959755938,-3.03982984617914,5.58711834772929,106,0.138626661626394,"Importaciones","Imports","Demand"
8,2.62438776251178,2.23693515012888,1.17320690425942,0.243677131308988,-1.05504313243295,6.3038186574565,105,0.128595931377501,"Importaciones","Imports","Demand"
