"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","sample","fci_variant","fci_col","comparison_to"
9,-3.06730397839046,1.15080756492355,0.00851096952034146,-4.96021397547815,-1.17439398130277,165,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
10,-3.5355382259873,1.09695290003573,0.00155017553952151,-5.33986518220601,-1.73121126976859,164,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
11,-3.40220795187445,1.32327301296943,0.0110986798757622,-5.57879836670422,-1.22561753704468,163,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
12,-2.38898257960742,1.41179313059346,0.0926775927428447,-4.71117563096924,-0.0667895282455908,162,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
13,-1.99500655249971,1.430343646525,0.165145943430279,-4.34771248727334,0.35769938227393,161,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
14,-1.70263281813941,1.39448679994467,0.224024231914882,-3.99635948876435,0.591093852485542,160,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
15,-1.45894050500848,1.47371615195379,0.323802629108684,-3.88298786264663,0.965106852629674,159,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
16,-1.0156356606083,1.34548429081097,0.451548044075705,-3.22876037635494,1.19748905513835,158,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
17,-0.725649307209597,1.27479251770556,0.570075201263531,-2.82249640356819,1.371197789149,157,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
18,-0.645737778176058,1.26987315403366,0.611871523025729,-2.73449324135663,1.44301768500451,156,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
1,1.1622716218796,1.06592300538128,0.277160652082386,-0.591015699572802,2.91555894333201,173,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
2,1.37709935493504,1.3610852929249,0.313168233857042,-0.861686725722796,3.61588543559287,172,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
3,2.15052439464517,1.68511420325381,0.203738068047994,-0.621241814404302,4.92229060369465,171,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
4,2.26565772651274,2.05093213985032,0.270959980209297,-1.10782544235141,5.63914089537688,170,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
5,2.03337275012192,2.06592221251084,0.326500052649994,-1.36476689412613,5.43151239436998,169,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
6,0.952273722002196,1.87219425586034,0.611718285376819,-2.12721179010739,4.03175923411178,168,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
7,0.219986615784131,1.69771998123406,0.897067486434623,-2.5725142528967,3.01248748446497,167,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
8,-1.46684270215715,1.64361523610952,0.373535763297106,-4.1703491845846,1.2366637802703,166,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
9,-1.20975542233209,1.88957817582818,0.522977659067226,-4.31783493825142,1.89832409358724,165,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
10,-0.755509626455266,1.85069256461087,0.683675009271404,-3.79962800372757,2.28860875081704,164,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
11,-1.39963412198321,1.80386286806777,0.439008086197327,-4.36672450304757,1.56745625908114,163,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
12,-3.08307403359772,1.99600036758786,0.124529955094047,-6.36620247762108,0.200054410425639,162,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
13,-3.22875105472061,2.31654474645435,0.165445871704016,-7.03912808292143,0.581625973480205,161,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
14,-3.14420586418035,2.45337689788255,0.201979768311315,-7.17965175294141,0.891240024580707,160,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
15,-4.12160043706143,2.31987029993281,0.077680019108009,-7.93744751396292,-0.305753360159946,159,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
16,-4.65813672446238,2.4955912215521,0.063956987039676,-8.76301899662061,-0.553254452304154,158,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
17,-4.85644894438562,2.71608481802728,0.0758447595312634,-9.32401090842563,-0.388886980345617,157,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
18,-3.64259311964962,2.8141370119511,0.19758807569218,-8.27143659049576,0.986250351196516,156,"Post-IT","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
1,-0.606692410139534,0.913148682166869,0.507381416904044,-2.10868833194766,0.895303511668597,173,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
2,-0.431363107633826,0.860158196951369,0.616709413122055,-1.84619743764132,0.98347122237367,172,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
3,-0.650563136131605,1.09475881474324,0.553182579563416,-2.45128114319911,1.1501548709359,171,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
4,-1.65135294683296,1.21385228642425,0.175621498633098,-3.64796228274123,0.34525638907531,170,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
5,-2.34004745464142,1.25681094336545,0.0644755312500362,-4.40731749322838,-0.272777416054455,169,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
6,-2.26942641603029,1.18081742272185,0.0564280991148303,-4.21169823656182,-0.327154595498764,168,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
7,-3.77141716557534,1.19297650526001,0.00188712373532483,-5.73368889712016,-1.80914543403052,167,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
8,-4.82324486583835,1.39216539975671,0.000686991979150259,-7.11315317294451,-2.53333655873219,166,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
9,-4.20726156823222,1.25863830662293,0.00104156614611641,-6.27753735190101,-2.13698578456344,165,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
10,-4.14752118474357,1.35409114104192,0.00259021894808701,-6.37480290930923,-1.92023946017792,164,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
11,-4.26696318050551,1.54558569467003,0.00647742969805896,-6.80922541614781,-1.7247009448632,163,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
12,-3.99971875072756,1.71322915212265,0.0208811407971494,-6.81772993539549,-1.18170756605963,162,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
13,-3.90575231984334,2.087715703736,0.0633172809208305,-7.33973906717705,-0.471765572509624,161,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
14,-3.91351689368956,2.07588448190688,0.0613459287911893,-7.32804301288637,-0.49899077449276,160,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
15,-4.48494021085327,2.12230128857912,0.0362576222466921,-7.97581518285641,-0.994065238850129,159,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
16,-4.26757264899243,2.14920314868697,0.0489319232964841,-7.80269724316572,-0.732448054819146,158,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
17,-3.79932799112008,2.09548990465585,0.0718708217314051,-7.24610216103344,-0.352553821206713,157,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
18,-3.15660938295714,1.99243461022329,0.115304602918488,-6.43387267804656,0.120653912132285,156,"Post-IT","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
1,-0.808800545749662,0.86381473386989,0.350505998389659,-2.22964934376967,0.612048252270347,173,"Post-IT","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
2,-1.01981317387009,0.800332218731306,0.204415525146406,-2.33624252661639,0.296616178876221,172,"Post-IT","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
