"horizon","coef_tpm","se_tpm","p_tpm","coef_fci","se_fci","p_fci","coef_interact","se_interact","p_interact","ci_interact_lo","ci_interact_hi","n_obs","r_squared","target_var","fci_type","tpm_change"
21,0.0138625192856548,0.109534776048969,0.899370099228905,-1.28079195635812,0.828349408118903,0.123051397127943,0.0793758542555514,0.118030989740069,0.501753715704825,-0.114767847311073,0.273519555822176,325,0.0419579823133055,"IPC_yoy","FCI_COMP","YoY"
22,-0.00367473659898795,0.101357410344875,0.971101664199397,-1.46473902009304,0.783061473715311,0.0623317140355786,0.0623297624440412,0.122778608224923,0.612044973000295,-0.139623076606777,0.264282601494859,324,0.037507081256,"IPC_yoy","FCI_COMP","YoY"
23,-0.0260957316813783,0.0931286929188291,0.779498583295438,-1.33573452910886,0.769075344663585,0.0833959335017911,0.0542380206146071,0.124978438191106,0.664599817427195,-0.151333216734764,0.259809257963978,323,0.0367255289967601,"IPC_yoy","FCI_COMP","YoY"
24,-0.0565601749997015,0.0875257829882798,0.518612847653133,-0.641988097224046,0.664477668910691,0.334708038305325,0.063948117051631,0.124828044525431,0.608807295228258,-0.141375744731284,0.269271978834546,322,0.0432189634311238,"IPC_yoy","FCI_COMP","YoY"
1,-0.0184853484672346,0.0484593138746271,0.703100731298105,0.865501008824864,1.27675750389283,0.498305288118463,-0.0108447620716373,0.090353788038911,0.904534228554179,-0.159463518036245,0.13777399389297,345,0.907637627393776,"Credit_yoy","FCI_COMP","YoY"
2,-0.0360624202548852,0.0743806960064369,0.628107851682524,1.03918210083795,1.53282106164605,0.498266095205628,-0.0199660448127993,0.130878866784543,0.878841598035797,-0.235242623534653,0.195310533909054,344,0.848409322041972,"Credit_yoy","FCI_COMP","YoY"
3,-0.0395766959015744,0.0988405616793174,0.689109421854302,0.176155012580959,1.64052951937966,0.914554047105419,-0.0620527896194595,0.165214524524852,0.707459329195264,-0.333806499509225,0.209700920270306,343,0.79074680082102,"Credit_yoy","FCI_COMP","YoY"
4,-0.0551398001095702,0.117824110582104,0.640100335325151,-2.10359236153991,1.53384433692775,0.171152294555961,-0.118124185986946,0.191161175294014,0.537041463754896,-0.432556338501611,0.19630796652772,342,0.73732947190198,"Credit_yoy","FCI_COMP","YoY"
5,-0.0885722544405625,0.134783901427942,0.511541739490338,-2.29598665289674,1.65462950218597,0.166179749284687,-0.187793663834655,0.208845176617643,0.369193740640019,-0.531313410065505,0.155726082396195,341,0.682195560256895,"Credit_yoy","FCI_COMP","YoY"
6,-0.117149579641822,0.145188124915244,0.420310798068338,-2.70775898454638,1.90833615047528,0.156860275840327,-0.268992220269376,0.222163432971766,0.226836329959035,-0.634418548768976,0.0964341082302231,340,0.645242539641328,"Credit_yoy","FCI_COMP","YoY"
7,-0.141517947762057,0.1503525094758,0.347265714535222,-3.67864130682524,1.91476277746426,0.05556256956204,-0.30472595179864,0.234739468746129,0.195138467807171,-0.690838018354371,0.0813861147570912,339,0.603696924226591,"Credit_yoy","FCI_COMP","YoY"
8,-0.187167404497379,0.153216852396468,0.222733925878001,-5.12955370455322,1.94212201076381,0.0086529181575898,-0.345364905681693,0.239972596775758,0.151043152384476,-0.740084701857261,0.0493548904938747,338,0.570004584279808,"Credit_yoy","FCI_COMP","YoY"
9,-0.246934794146212,0.154867099776814,0.111782498919992,-5.26741857156753,1.90921821365298,0.00612239999931847,-0.373718721753997,0.241008728335831,0.121945507536212,-0.770142802684151,0.0227053591761576,337,0.542695858477924,"Credit_yoy","FCI_COMP","YoY"
10,-0.297140403193126,0.156784440171318,0.0589401634204295,-6.36069618180636,2.06020972993289,0.00219085427603735,-0.400426348916004,0.237502451863925,0.0927461138621793,-0.791083118274249,-0.00976957955775859,336,0.525446930956518,"Credit_yoy","FCI_COMP","YoY"
11,-0.365690966869876,0.15381526940942,0.0180048015735135,-8.13188664190119,2.33311900039702,0.000558202326437883,-0.385889141198728,0.228079936255421,0.091614186435253,-0.761047251583318,-0.010731030814138,335,0.504337429609013,"Credit_yoy","FCI_COMP","YoY"
12,-0.416498590044045,0.153169939702133,0.00689353282863527,-9.17085369786361,2.48504455550845,0.000262185233975623,-0.375804760225452,0.212635473596234,0.0780995501936319,-0.725558990188762,-0.0260505302621426,334,0.497164018745929,"Credit_yoy","FCI_COMP","YoY"
13,-0.485840835983071,0.158656163233711,0.00237983882676583,-9.57651928702831,2.66404023450974,0.000374917506048575,-0.361553458163287,0.211011450222474,0.0875840244495004,-0.708636407390013,-0.0144705089365614,333,0.491793209801049,"Credit_yoy","FCI_COMP","YoY"
14,-0.501855903765346,0.174927221313411,0.00438797590562957,-9.57807074945378,2.7873258588341,0.000666331741609867,-0.385209653047478,0.223879013261682,0.0862724522590725,-0.753457860009272,-0.0169614460856841,332,0.478496048422496,"Credit_yoy","FCI_COMP","YoY"
15,-0.529143532245496,0.197459510365457,0.00774399364364105,-8.8943471015789,2.73645638972228,0.00127388959788322,-0.391687010743336,0.251413070093311,0.120223187915498,-0.805224710949322,0.0218506894626513,331,0.462668019872917,"Credit_yoy","FCI_COMP","YoY"
16,-0.528893446140296,0.222001336451149,0.0177790133415738,-7.93658633341203,2.64684693944465,0.00292368857231269,-0.392972051411308,0.282847642508269,0.165685842551274,-0.858215022065708,0.072270919243091,330,0.441969528781619,"Credit_yoy","FCI_COMP","YoY"
17,-0.517292764105098,0.25297035545929,0.0416798731529033,-7.16283340327164,2.69290408123597,0.00820773123262383,-0.39721486729878,0.310031591093353,0.201042628667279,-0.907171454378217,0.112741719780656,329,0.424526189997347,"Credit_yoy","FCI_COMP","YoY"
18,-0.489584875811789,0.281863574332056,0.0833540410611586,-6.57581126258125,2.86441716288515,0.0223379493807266,-0.417421934433191,0.335818790685956,0.214775878832137,-0.969794690291442,0.13495082142506,328,0.406749414658824,"Credit_yoy","FCI_COMP","YoY"
19,-0.447534233825849,0.312257122382926,0.152770259598831,-6.22553081155716,2.88651081505573,0.0317683047066861,-0.482320072252089,0.355200505820939,0.175458084943205,-1.06657291254666,0.10193276804248,327,0.396254634127455,"Credit_yoy","FCI_COMP","YoY"
20,-0.399210462129243,0.335483178579058,0.234948256023048,-5.69807730863932,2.94545519611363,0.0539317524708651,-0.536785155765696,0.374530303266463,0.152773669912572,-1.15283268349677,0.0792623719653804,326,0.384209654874041,"Credit_yoy","FCI_COMP","YoY"
21,-0.336295451689033,0.361096860727739,0.352396381771716,-5.1268416174442,2.74918791618586,0.0631224573507718,-0.589705404350412,0.385314134011306,0.126898627647944,-1.22349075519457,0.0440799464937496,325,0.372382224066297,"Credit_yoy","FCI_COMP","YoY"
22,-0.281926734761246,0.383723585307781,0.463057403240151,-3.91505714898963,2.54376892750768,0.124782973467438,-0.618592411772029,0.395664934554366,0.118950399372444,-1.26940331443129,0.032218490887236,324,0.363012192677214,"Credit_yoy","FCI_COMP","YoY"
23,-0.222925857230607,0.390072076517453,0.56806759881194,-3.0077169275911,2.42961137511278,0.216656683529424,-0.655707640317662,0.395032938124279,0.0979303985016203,-1.30547900135668,-0.00593627927864571,323,0.35912738398457,"Credit_yoy","FCI_COMP","YoY"
24,-0.176540473914587,0.390044429098696,0.65113660885313,-2.07004879300743,2.13197826202607,0.332317082733059,-0.672498612769671,0.390650545376753,0.0861448375158517,-1.31506157920319,-0.0299356463361489,322,0.358881576915441,"Credit_yoy","FCI_COMP","YoY"
1,-0.067285514622938,0.0414602353525132,0.105544617057806,0.0692190438293664,1.3288064505814,0.958486843882706,-0.0396859376996132,0.0456844812536469,0.385629690149426,-0.114830222385071,0.0354583469858443,345,0.274820391440514,"IMAEP_yoy","FCI_BANKING","YoY"
2,-0.107774429704314,0.0477612866172003,0.024678200889458,-0.438435498700496,1.51823786199426,0.772927908871471,-0.0306309964960431,0.0547181885695997,0.575990808126144,-0.120634407424964,0.0593724144328775,344,0.195142702472246,"IMAEP_yoy","FCI_BANKING","YoY"
3,-0.140953286970774,0.0559405570782344,0.012208739512734,0.457033693993555,1.43077116031547,0.749597669917638,-0.00519251898060352,0.0588369192405383,0.92972838072521,-0.101970638992054,0.0915856010308467,343,0.145009835081786,"IMAEP_yoy","FCI_BANKING","YoY"
4,-0.151720146320158,0.0635115461199234,0.0174537745046424,-0.530852523041065,1.43599157112187,0.711857025163963,0.0251065496731197,0.0617504079088763,0.684575291824653,-0.0764638327415284,0.126676932087768,342,0.119910210149449,"IMAEP_yoy","FCI_BANKING","YoY"
5,-0.132565394550282,0.0679527933977157,0.051911370215615,-0.46093080333603,1.54332297928558,0.76538423714321,0.0396362804792129,0.0607186248854367,0.514343171903395,-0.0602369698871036,0.139509530845529,341,0.104260668614219,"IMAEP_yoy","FCI_BANKING","YoY"
6,-0.129431271443698,0.0732712855726072,0.0782337297348926,1.22336644023429,1.50160056511296,0.4158215608747,0.0458310268393046,0.0569966018804906,0.421912278396934,-0.0479200404877294,0.139582094166339,340,0.0772602439504377,"IMAEP_yoy","FCI_BANKING","YoY"
7,-0.14973748743151,0.0799233422204211,0.0618757883125164,1.86815848496542,1.41301795884953,0.187043252474728,0.0522728742927267,0.0561769241760888,0.352786091978885,-0.0401299431892907,0.144675691774744,339,0.0630773030715409,"IMAEP_yoy","FCI_BANKING","YoY"
8,-0.168279995281431,0.0842632809291114,0.0466355440969569,0.864002258186421,1.48197615420716,0.560285665292576,0.077171229881423,0.0567272603110987,0.174632049830666,-0.016136809988308,0.170479269751154,338,0.0512542352217036,"IMAEP_yoy","FCI_BANKING","YoY"
9,-0.176951417407138,0.0859094806526822,0.0402070910963199,-0.931383060474078,1.65568925680389,0.574133535973169,0.102777497500521,0.0622328891678495,0.0995881311000914,0.000413504037115264,0.205141490963928,337,0.0832527933116564,"IMAEP_yoy","FCI_BANKING","YoY"
10,-0.190053209153108,0.0886596352949334,0.0327955301867193,0.345319291755961,1.33403247825514,0.795909970096826,0.119441837303626,0.0718546647036599,0.0974111055293222,0.0012514314524287,0.237632243154822,336,0.130283140247787,"IMAEP_yoy","FCI_BANKING","YoY"
11,-0.198664614344399,0.0899634357247996,0.0279159773317466,1.53579161019356,1.41877388473505,0.279835300898778,0.120072217192042,0.0737936015491752,0.104668467891385,-0.00130745596193016,0.241451890346015,335,0.130916512705977,"IMAEP_yoy","FCI_BANKING","YoY"
12,-0.18058638076978,0.0892256815200358,0.04379033275287,3.22662305838452,1.52572903535483,0.0352025728869799,0.118765660058187,0.0693373487848515,0.0876848889937728,0.00471587042622486,0.232815449690149,334,0.0805248773360677,"IMAEP_yoy","FCI_BANKING","YoY"
13,-0.155540108950512,0.0915083750546459,0.0901343838261386,3.72194250357583,1.72624059266716,0.031807255530599,0.10576991044125,0.071458632653327,0.13979740749955,-0.0117690806555683,0.223308901538067,333,0.0556242927602952,"IMAEP_yoy","FCI_BANKING","YoY"
14,-0.113131977512277,0.0921021116673723,0.220211102926795,3.52646958772117,1.55586917447574,0.0240741105578806,0.0700986024234092,0.0721776902001016,0.332173485171375,-0.0486231330872076,0.188820337934026,332,0.036505596461643,"IMAEP_yoy","FCI_BANKING","YoY"
15,-0.0661191789287689,0.0925584633232499,0.475524838644521,3.36091188713797,1.48769252602208,0.0245386443401542,0.019321864776457,0.0732497933168608,0.792116774858681,-0.101163323434227,0.139807052987141,331,0.0285586304225804,"IMAEP_yoy","FCI_BANKING","YoY"
16,-0.0209043520219682,0.0885260935553931,0.813475452889218,2.35294670080491,1.38626880861237,0.0905987537301723,-0.0194783154366557,0.0702311212458488,0.781691916799712,-0.134998229942759,0.0960415990694473,330,0.0256226199357272,"IMAEP_yoy","FCI_BANKING","YoY"
