"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
2,-1.84521860293424,0.781977627945861,-2.35968208934743,0.0202327201246853,-3.13145734045589,-0.558979865412578,111,0.285297025424107,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
3,-1.57980754819445,0.597554306028114,-2.64378907867852,0.00953333182623537,-2.56269691576526,-0.596918180623635,110,0.234064212557425,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
4,-0.751161943428748,0.792078423708223,-0.948342892503095,0.345287640388142,-2.05401501149522,0.551691124637727,109,0.11689421138354,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
5,1.01274148093815,0.872425850938508,1.16083387470545,0.248558340253796,-0.422271344224282,2.44775430610058,108,0.251786746862356,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
6,-1.34761583494922,0.775459025961494,-1.73782983991747,0.0854474721551427,-2.62313242635424,-0.0720992435442007,107,0.214710798628298,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
7,0.631324840689004,0.674936825861269,0.935383604063073,0.35196228703626,-0.478847445292018,1.74149712667003,106,0.224866857717453,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
8,0.173668112025952,0.853296005912836,0.203526221642355,0.839163701315166,-1.22987891816298,1.57721514221488,105,0.236217202853665,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
1,2.44280767415671,2.20055403765287,1.11008756538523,0.269597247122647,-1.17678161597932,6.06239696429274,112,0.337846398708,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
2,1.5333508773043,2.45663830678419,0.624166314214771,0.533939723480759,-2.50745955171759,5.5741613063262,111,0.207864782380378,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
3,2.57198932572392,2.12808300211712,1.20859445950425,0.229697503154343,-0.928395718762202,6.07237437021004,110,0.186577819323689,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
4,1.68021774257245,1.80189614177293,0.932472024119684,0.353384288941141,-1.28363766161261,4.64407314675751,109,0.15963044518396,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
5,-0.191639369835898,1.61736042665959,-0.118488969234705,0.905925265193602,-2.8519605337147,2.46868179404291,108,0.0979293359771559,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
6,-2.81153796252379,2.17033748221225,-1.29543814525009,0.19827554002599,-6.38142544184933,0.758349516801752,107,0.0972340089664095,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
