"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type"
2,0.281937965409438,0.758454828347868,0.710585059340402,-0.965609209877409,1.52948514069628,172,"Cred_Real_MN","FCI_ENDO_exCredit"
3,0.201981876525579,0.927272776366046,0.827844120187367,-1.32324611285347,1.72720986590463,171,"Cred_Real_MN","FCI_ENDO_exCredit"
4,-0.183779354365488,1.0497949097255,0.861253528456511,-1.91053831918267,1.5429796104517,170,"Cred_Real_MN","FCI_ENDO_exCredit"
5,-0.107759337504878,1.07736475304566,0.920454277806091,-1.8798666591017,1.66434798409195,169,"Cred_Real_MN","FCI_ENDO_exCredit"
6,-0.429026981026814,1.123246776656,0.703013042674507,-2.27660351557098,1.41854955351736,168,"Cred_Real_MN","FCI_ENDO_exCredit"
7,-1.02465762188122,1.25004212153133,0.413638623010553,-3.08079393932414,1.03147869556169,167,"Cred_Real_MN","FCI_ENDO_exCredit"
8,-1.09831150203677,1.41902668545144,0.440116035591453,-3.4324026923425,1.23577968826897,166,"Cred_Real_MN","FCI_ENDO_exCredit"
9,-0.671999138423327,1.51352312520762,0.657668275364192,-3.16152314039601,1.81752486354935,165,"Cred_Real_MN","FCI_ENDO_exCredit"
10,-1.25442747275369,1.48622645920424,0.399967476569827,-3.69905245464703,1.19019750913964,164,"Cred_Real_MN","FCI_ENDO_exCredit"
11,-1.69420235822956,1.52177440973611,0.267334013660732,-4.19729851548594,0.808893799026811,163,"Cred_Real_MN","FCI_ENDO_exCredit"
12,-1.68619521509603,1.57101589923692,0.28484197907169,-4.2702864149543,0.89789598476224,162,"Cred_Real_MN","FCI_ENDO_exCredit"
13,-2.80931225952333,1.51005138510341,0.0647856884242596,-5.29312575719377,-0.325498761852892,161,"Cred_Real_MN","FCI_ENDO_exCredit"
14,-3.3272149934246,1.47327090087666,0.0253736087020197,-5.75052997821362,-0.903900008635567,160,"Cred_Real_MN","FCI_ENDO_exCredit"
15,-3.61514967037439,1.33198234842296,0.00743480368895694,-5.80606566721322,-1.42423367353555,159,"Cred_Real_MN","FCI_ENDO_exCredit"
16,-3.34833858202496,1.26502651830707,0.00900993492717594,-5.42912203885213,-1.26755512519778,158,"Cred_Real_MN","FCI_ENDO_exCredit"
17,-3.39915837921292,1.03642001479243,0.00129935697152922,-5.10391759958936,-1.69439915883649,157,"Cred_Real_MN","FCI_ENDO_exCredit"
18,-3.55744772003609,0.922660668895332,0.000172978440140337,-5.07508946771405,-2.03980597235813,156,"Cred_Real_MN","FCI_ENDO_exCredit"
1,0.428756117837223,1.74087798678791,0.805771636378742,-2.43473335281085,3.29224558848529,173,"Cred_USD","FCI_ENDO_exCredit"
2,0.244390619189831,2.29582845276153,0.915357957113309,-3.53191113819336,4.02069237657303,172,"Cred_USD","FCI_ENDO_exCredit"
3,-3.34387450432994,2.4004193872167,0.165540850888635,-7.29221303959795,0.604464030938068,171,"Cred_USD","FCI_ENDO_exCredit"
4,-5.71492326885077,2.61525277595987,0.0303354206930021,-10.0166312827833,-1.41321525491828,170,"Cred_USD","FCI_ENDO_exCredit"
5,-7.11764170933562,2.13470422223065,0.00106569717447688,-10.6289176917403,-3.60636572693091,169,"Cred_USD","FCI_ENDO_exCredit"
6,-6.34919762945974,2.50332046402575,0.0121791919321492,-10.4667933741343,-2.23160188478515,168,"Cred_USD","FCI_ENDO_exCredit"
7,-7.86406863321484,3.03330455443266,0.0104314631264574,-12.8534106312218,-2.87472663520786,167,"Cred_USD","FCI_ENDO_exCredit"
8,-9.9475463346857,2.60936866678866,0.000198285984214424,-14.2395758503066,-5.65551681906485,166,"Cred_USD","FCI_ENDO_exCredit"
9,-8.68962382538597,2.86107280524426,0.00280537271555154,-13.3956698060642,-3.98357784470774,165,"Cred_USD","FCI_ENDO_exCredit"
10,-11.1910555103762,2.74480705600655,7.30658700818147e-05,-15.7058613517306,-6.67624966902183,164,"Cred_USD","FCI_ENDO_exCredit"
