"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","sector","sector_label","side"
6,1.94201231261302,3.58864613589661,0.589667791975921,-3.9607852998619,7.84480992508795,3.95596463826118,2.7038451979309,0.146743930885894,-0.491464942270785,8.40339421879315,0.714687339598054,107,"FBCF","Investment (GFCF)","Demand"
7,1.86502049083465,3.36158810085581,0.580346904105156,-3.66429988917494,7.39434087084424,1.10134736267112,2.05735750758041,0.593691909581286,-2.28270459560836,4.4853993209506,0.83336627876846,106,"FBCF","Investment (GFCF)","Demand"
8,4.04871180167216,1.98263301780208,0.0439744595892403,0.78757069142666,7.30985291191766,-2.27690731868575,3.2767339896842,0.488868625545234,-7.66665510617298,3.11284046880148,0.0864453283412971,105,"FBCF","Investment (GFCF)","Demand"
1,6.69441631726089,3.68270244876609,0.0720888798814462,0.636909837424917,12.7519227970969,5.92250053119428,3.82524435087205,0.124717022432175,-0.369466513313238,12.2144675757018,0.902441348968065,112,"Exportaciones","Exports","Demand"
2,5.78828900175503,3.17308706950443,0.0711410163483703,0.569025226847852,11.0075527766622,5.9747818009327,3.66088988870257,0.105844403271083,-0.0468462103697043,11.9964098122351,0.975318493876766,111,"Exportaciones","Exports","Demand"
3,5.69452268726028,3.45065614698463,0.102088762618057,0.0186984085302182,11.3703469659903,2.07228640631438,5.18188358449799,0.690093224501436,-6.45115360208743,10.5957264147162,0.632649715817003,110,"Exportaciones","Exports","Demand"
4,1.96670818427882,2.72504694268611,0.472205659050836,-2.51559516301145,6.4490115315691,0.311499949945721,4.53938602462577,0.945432081532534,-7.1551256167928,7.77812551668424,0.776693823606787,109,"Exportaciones","Exports","Demand"
5,6.13604100539464,3.61855754624022,0.093180884009053,0.184043501128804,12.0880385096605,-8.11362567665455,3.84231329448057,0.0373132772755103,-14.4336686349648,-1.79358271834432,0.00810561743269467,108,"Exportaciones","Exports","Demand"
6,-0.56793821723225,3.64622873500553,0.876552345558887,-6.56545077670077,5.42957434223627,-3.91041541298354,5.24723086562573,0.457970012288843,-12.5413421337597,4.72051130779264,0.560819660538353,107,"Exportaciones","Exports","Demand"
7,-2.28976655287596,4.46125764484921,0.608976583380395,-9.62788237077116,5.04834926501924,1.72644579471348,3.00873822419932,0.567466431939067,-3.22248818590831,6.67537977533527,0.488800190581276,106,"Exportaciones","Exports","Demand"
8,-1.05111838125138,3.27955029118073,0.74930317070112,-6.44549857246976,4.343261809967,-2.40446327845634,2.47302599852791,0.333435428667541,-6.47222906168025,1.66330250476757,0.767989672068702,105,"Exportaciones","Exports","Demand"
1,-2.74659448285078,3.57165948017292,0.443707718055053,-8.62145153304881,3.12826256734725,8.64143101520931,3.96091406974156,0.0314761169688397,2.12630714155179,15.1565548888668,0.086882361010445,112,"Importaciones","Imports","Demand"
2,-3.1592592467212,3.86677978358454,0.415875443983123,-9.51954599837285,3.20102750493045,11.6240536446445,3.00152370913583,0.00019326359782041,6.68698648529159,16.5611208039974,0.015662669230662,111,"Importaciones","Imports","Demand"
3,-0.10978191112145,4.27584581836376,0.979568853512791,-7.14292241374236,6.92335859149946,9.24583244670183,3.86858499176343,0.018761505864751,2.88257639182973,15.6090885015739,0.157228559240938,110,"Importaciones","Imports","Demand"
4,2.68324758052905,3.36506706140866,0.427176177167328,-2.85179518036392,8.21829034142201,5.32344069573896,4.12799313978475,0.200257592909222,-1.46650379226678,12.1133851837447,0.656476928323623,109,"Importaciones","Imports","Demand"
5,9.25869914403228,3.54907871450301,0.0105400130876541,3.42098414814573,15.0964141399188,-2.38624116266588,3.48109917696976,0.494689928481402,-8.11213976968238,3.33965744435061,0.0299982625944193,108,"Importaciones","Imports","Demand"
6,6.09388442006597,4.2064103292772,0.150710293906321,-0.825044866491764,13.0128137066237,-0.532281870755829,4.32158225294656,0.902234044449369,-7.64065211368408,6.57608837217242,0.359245220141425,107,"Importaciones","Imports","Demand"
7,3.738331467516,3.60560150218717,0.302483228837856,-2.19235524069824,9.66901817573024,1.32347828524106,2.55891440479213,0.606229339054704,-2.88556135453965,5.53251792502177,0.633126534239488,106,"Importaciones","Imports","Demand"
8,5.17159874808796,2.61797051254438,0.0511846934918106,0.86542045527733,9.47777704089859,-0.0352809789049047,3.2716672432905,0.991419045114272,-5.4166947102096,5.34613275239979,0.203650467180026,105,"Importaciones","Imports","Demand"
