"proxy","response","horizon","irf_point","ci_lower","ci_upper","n_boot_valid"
"Selic_rate","IMAEP_yoy",5,-2.66038658294819,-2.37335273509884,2.32694298718531,500
"Selic_rate","IMAEP_yoy",6,-2.18174137065701,-2.05203442274989,1.97798988400279,500
"Selic_rate","IMAEP_yoy",7,-1.79945194889235,-1.89324925549427,1.84250758663816,500
"Selic_rate","IMAEP_yoy",8,-1.48934484913628,-1.58899273071945,1.67396377624156,500
"Selic_rate","IMAEP_yoy",9,-1.2343471595331,-1.50669644332645,1.577141509677,500
"Selic_rate","IMAEP_yoy",10,-1.02205342242843,-1.3155651108163,1.45334946963752,500
"Selic_rate","IMAEP_yoy",11,-0.843317928372834,-1.16131676564981,1.32932837962669,500
"Selic_rate","IMAEP_yoy",12,-0.691331861594564,-1.06214465266936,1.2103600436115,500
"Selic_rate","IMAEP_yoy",13,-0.560982549597982,-0.96536707482943,1.10705389384195,500
"Selic_rate","IMAEP_yoy",14,-0.448396226424893,-0.898830813485482,0.99213435212285,500
"Selic_rate","IMAEP_yoy",15,-0.350607914067426,-0.809403753675002,0.889764200150649,500
"Selic_rate","IMAEP_yoy",16,-0.265321861412757,-0.743204512877882,0.76328211928323,500
"Selic_rate","IMAEP_yoy",17,-0.190737247822146,-0.682512713447675,0.680190133643325,500
"Selic_rate","IMAEP_yoy",18,-0.125421150742553,-0.626528420781814,0.588279254591266,500
"Selic_rate","IMAEP_yoy",19,-0.0682158140729758,-0.571565178180259,0.528365719114824,500
"Selic_rate","IMAEP_yoy",20,-0.0181708363212675,-0.513791208139063,0.453758889051792,500
"Selic_rate","IMAEP_yoy",21,0.0255065236646806,-0.455492206438081,0.395759322579625,500
"Selic_rate","IMAEP_yoy",22,0.0634878601000805,-0.40261000236761,0.337206102577723,500
"Selic_rate","IMAEP_yoy",23,0.0963505372734352,-0.368024881727598,0.292054972905897,500
"Selic_rate","IMAEP_yoy",24,0.124597613638912,-0.321258370724202,0.256083263507653,500
"Selic_rate","IPC_yoy",0,3.7445916973655,-4.43262698783637,4.08411554608064,500
"Selic_rate","IPC_yoy",1,4.33406926860053,-5.64997466175723,5.16920723901266,500
"Selic_rate","IPC_yoy",2,4.02159648694471,-5.69579678871935,5.00382837749065,500
"Selic_rate","IPC_yoy",3,3.60745596097774,-5.32074933583213,4.46591385063596,500
"Selic_rate","IPC_yoy",4,3.19517467513214,-4.876504633299,3.94240048920516,500
"Selic_rate","IPC_yoy",5,2.81399059533266,-4.41998995117957,3.65485426813994,500
"Selic_rate","IPC_yoy",6,2.469666001842,-3.97267674090042,3.30791783715153,500
"Selic_rate","IPC_yoy",7,2.16061789279274,-3.56475870440677,2.96193882941263,500
"Selic_rate","IPC_yoy",8,1.88373341482368,-3.19378570428609,2.7021486528944,500
"Selic_rate","IPC_yoy",9,1.63585458793838,-2.85658224950765,2.45885330522158,500
"Selic_rate","IPC_yoy",10,1.41411350392838,-2.58884078625662,2.23240882893763,500
"Selic_rate","IPC_yoy",11,1.21596982486264,-2.34164924251101,2.01994309543302,500
"Selic_rate","IPC_yoy",12,1.03917623949636,-2.11170619256249,1.80050029641174,500
"Selic_rate","IPC_yoy",13,0.881734055356085,-1.85220555676536,1.59998815014109,500
"Selic_rate","IPC_yoy",14,0.741854014399479,-1.6445101520045,1.41731760522389,500
"Selic_rate","IPC_yoy",15,0.61792454870876,-1.4695832426166,1.22422255595854,500
"Selic_rate","IPC_yoy",16,0.508486578799897,-1.28816467113986,1.04063978381765,500
"Selic_rate","IPC_yoy",17,0.412213475861861,-1.12147813309012,0.943823056867476,500
"Selic_rate","IPC_yoy",18,0.327894971422646,-0.966770917092547,0.847519350719298,500
"Selic_rate","IPC_yoy",19,0.254424063392898,-0.852356189844595,0.738514234636569,500
"Selic_rate","IPC_yoy",20,0.190786203051333,-0.742019124976743,0.640569882409472,500
"Selic_rate","IPC_yoy",21,0.136050231325034,-0.627659062849083,0.574813078396176,500
"Selic_rate","IPC_yoy",22,0.0893606701889992,-0.529498820898175,0.517122756866725,500
"Selic_rate","IPC_yoy",23,0.0499310763310733,-0.442488475383182,0.483079290278952,500
"Selic_rate","IPC_yoy",24,0.0170382385564472,-0.366974181153914,0.413158514472513,500
"DXY","FCI_ENDO_exCredit_AVG",0,0.166489242275699,-0.166491507818058,0.16648907151657,500
"DXY","FCI_ENDO_exCredit_AVG",1,0.159801242605197,-0.220482956287729,0.227787149095633,500
"DXY","FCI_ENDO_exCredit_AVG",2,0.159752146323325,-0.283097965532154,0.290484178793384,500
"DXY","FCI_ENDO_exCredit_AVG",3,0.15961496472352,-0.322220222900677,0.32789352723275,500
"DXY","FCI_ENDO_exCredit_AVG",4,0.159011220235552,-0.365649374433649,0.360526089172443,500
"DXY","FCI_ENDO_exCredit_AVG",5,0.157997359952882,-0.410994690689333,0.387034456027404,500
