"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","purge_type","purge_r2"
11,-2.91757784522061,3.27543114492371,0.373753910423741,-8.30518264377818,2.47002695333696,322,"Cred_Real_MN","globally_purged",0.555535340937158
12,-2.52479674798225,3.21795981933122,0.433289921342056,-7.8178696281933,2.7682761322288,321,"Cred_Real_MN","globally_purged",0.555535340937158
13,-2.13661887693039,3.33560594326338,0.522290499897552,-7.62320241078805,3.34996465692726,320,"Cred_Real_MN","globally_purged",0.555535340937158
14,-1.34112758462186,3.06312120593378,0.66181611047061,-6.379513609994,3.69725844075027,319,"Cred_Real_MN","globally_purged",0.555535340937158
15,0.0471893904312689,2.91289836902371,0.987085238832078,-4.7441020567984,4.83848083766094,318,"Cred_Real_MN","globally_purged",0.555535340937158
16,1.15436405605106,2.60949131407879,0.65853305435744,-3.1378671964098,5.44659530851193,317,"Cred_Real_MN","globally_purged",0.555535340937158
17,1.23689104137252,2.52406372328213,0.624458219002756,-2.91482432852472,5.38860641126976,316,"Cred_Real_MN","globally_purged",0.555535340937158
18,1.63003734097647,2.43402314721509,0.503564703089681,-2.3735744608041,5.63364914275704,315,"Cred_Real_MN","globally_purged",0.555535340937158
19,1.92421265807064,2.15185501683661,0.371918679368795,-1.61527387104678,5.46369918718806,314,"Cred_Real_MN","globally_purged",0.555535340937158
20,2.06611169367465,2.30123181017306,0.369992153875779,-1.71907779574461,5.85130118309392,313,"Cred_Real_MN","globally_purged",0.555535340937158
21,2.27620749447342,2.37658568924254,0.338950568673451,-1.63292809623813,6.18534308518498,312,"Cred_Real_MN","globally_purged",0.555535340937158
22,2.62591769755211,2.71782951980623,0.334731384720302,-1.84451404553694,7.09634944064117,311,"Cred_Real_MN","globally_purged",0.555535340937158
23,2.92642612164051,2.74497529317999,0.28723721958627,-1.58865644523878,7.44150868851979,310,"Cred_Real_MN","globally_purged",0.555535340937158
24,2.92767335591932,2.63744636945915,0.267876314097722,-1.41053987077555,7.26588658261419,309,"Cred_Real_MN","globally_purged",0.555535340937158
1,0.632230892281841,0.985222395309699,0.521499114968684,-0.988315737997134,2.25277752256082,345,"Cred_Real_Total","baseline",0
2,0.695913520987755,1.04102971923102,0.504286689559853,-1.01642798845366,2.40825503042917,344,"Cred_Real_Total","baseline",0
3,-0.245538929167265,1.16906503860236,0.833772957342255,-2.16847979805452,1.67740193971999,343,"Cred_Real_Total","baseline",0
4,-2.48161857406135,1.22890643081268,0.0442542455463934,-4.50298977396758,-0.46024737415512,342,"Cred_Real_Total","baseline",0
5,-3.01555763461931,1.39329863944425,0.0311558675171167,-5.30732995513573,-0.723785314102895,341,"Cred_Real_Total","baseline",0
6,-3.23940612126516,1.71866693416456,0.0603331327016109,-6.0663616614473,-0.412450581083017,340,"Cred_Real_Total","baseline",0
7,-4.19826897028935,1.75722414203241,0.0174521510622525,-7.08864547367805,-1.30789246690064,339,"Cred_Real_Total","baseline",0
8,-5.74198219306852,1.85143693010761,0.00209398410607712,-8.78732494262792,-2.69663944350913,338,"Cred_Real_Total","baseline",0
9,-5.71522151462667,1.94840978724331,0.00359164911842401,-8.92007041996158,-2.51037260929175,337,"Cred_Real_Total","baseline",0
10,-6.25038292010198,2.22902769428874,0.00534939836633736,-9.91680720762808,-2.58395863257587,336,"Cred_Real_Total","baseline",0
11,-7.40519796608836,2.54796117756312,0.00390890188859103,-11.5962211503346,-3.21417478184211,335,"Cred_Real_Total","baseline",0
12,-7.65628048038672,2.74502470347948,0.00559825152330819,-12.1714443199763,-3.1411166407971,334,"Cred_Real_Total","baseline",0
13,-7.97473739828041,2.90221607837489,0.00633752809707336,-12.7484580409922,-3.2010167555686,333,"Cred_Real_Total","baseline",0
14,-7.9717016516556,2.90925482288089,0.00648531712720251,-12.7569999987973,-3.18640330451391,332,"Cred_Real_Total","baseline",0
15,-7.40133279660075,2.75508840436102,0.00759922505161275,-11.9330499510859,-2.86961564211558,331,"Cred_Real_Total","baseline",0
16,-6.10013547399513,2.69181155025633,0.0241098495536442,-10.5277714655041,-1.67249948248614,330,"Cred_Real_Total","baseline",0
17,-5.10677349376023,2.64292148595488,0.054217182555163,-9.45399248568108,-0.759554501839378,329,"Cred_Real_Total","baseline",0
18,-4.28019524327448,2.57334561856574,0.09724460672417,-8.51297211737201,-0.0474183691769525,328,"Cred_Real_Total","baseline",0
19,-3.54790071812134,2.37833853706991,0.136760737946203,-7.45991948693923,0.364118050696556,327,"Cred_Real_Total","baseline",0
