"horizon","response_val","lower","upper","shock","response"
5,-0.534003916685765,-0.775740165241341,-0.104569946506951,"VIX","IMAEP_yoy"
6,-0.455902702887795,-0.656810920031686,-0.0557227053964191,"VIX","IMAEP_yoy"
7,-0.380297897408964,-0.543474006431757,-0.0215755924142876,"VIX","IMAEP_yoy"
8,-0.311388855007943,-0.448605422926248,0.00273772716415003,"VIX","IMAEP_yoy"
9,-0.250930336193953,-0.372807672232143,0.0303149373257056,"VIX","IMAEP_yoy"
10,-0.199276775932104,-0.311553541853902,0.0538997940021715,"VIX","IMAEP_yoy"
11,-0.156019200467581,-0.248767308492568,0.0806530828266445,"VIX","IMAEP_yoy"
12,-0.120371371915134,-0.206737141647422,0.0867423310611513,"VIX","IMAEP_yoy"
13,-0.0913986636714239,-0.177316664469272,0.101523344010963,"VIX","IMAEP_yoy"
14,-0.0681489167669306,-0.148311810963012,0.112762943951386,"VIX","IMAEP_yoy"
15,-0.049723000250927,-0.126213973908871,0.120004846635116,"VIX","IMAEP_yoy"
16,-0.0353089246331055,-0.110716950688429,0.125489125029365,"VIX","IMAEP_yoy"
17,-0.0241944534886987,-0.100118931850119,0.127792985744672,"VIX","IMAEP_yoy"
18,-0.0157674875967341,-0.0887800900038889,0.130690316532265,"VIX","IMAEP_yoy"
19,-0.00950990819989498,-0.0835856596882672,0.134156509515141,"VIX","IMAEP_yoy"
20,-0.00498830956782496,-0.0788629235734455,0.130897680372911,"VIX","IMAEP_yoy"
21,-0.00184364109913723,-0.0697017948316445,0.127608668487837,"VIX","IMAEP_yoy"
22,0.000219094708819967,-0.0636649546401365,0.121701864738292,"VIX","IMAEP_yoy"
23,0.00144047778277808,-0.0606721494713809,0.118303644442299,"VIX","IMAEP_yoy"
24,0.0020153520366213,-0.0582866154558222,0.111413398822535,"VIX","IMAEP_yoy"
0,0.0419144038149732,-0.0783523199270807,0.161845021746418,"VIX","IPC_yoy"
1,0.143603274501144,-0.0209187376056945,0.32220111754948,"VIX","IPC_yoy"
2,0.129607496932699,-0.0512759941018276,0.335367675869736,"VIX","IPC_yoy"
3,0.0819496026042781,-0.116046290542294,0.294890826834492,"VIX","IPC_yoy"
4,0.0326432301364733,-0.177113587856793,0.26217456742096,"VIX","IPC_yoy"
5,-0.00865018629779084,-0.220271362863666,0.230380915766865,"VIX","IPC_yoy"
6,-0.0401537636323091,-0.253720628848043,0.191499806755691,"VIX","IPC_yoy"
7,-0.0626143272863529,-0.272538002224197,0.161688668667447,"VIX","IPC_yoy"
8,-0.0774542249652714,-0.267791901321041,0.129552537952949,"VIX","IPC_yoy"
9,-0.0861549610249406,-0.253499194113745,0.109082006208292,"VIX","IPC_yoy"
10,-0.0900591339142283,-0.244467491735689,0.0883845008139016,"VIX","IPC_yoy"
11,-0.0903161108613553,-0.230280591946237,0.0701357529724962,"VIX","IPC_yoy"
12,-0.0878791824840004,-0.217234981455535,0.0615840624194097,"VIX","IPC_yoy"
13,-0.0835216861232777,-0.204960605423032,0.0593053622732575,"VIX","IPC_yoy"
14,-0.077859576240558,-0.192250207880786,0.0537019771759509,"VIX","IPC_yoy"
15,-0.0713751306474243,-0.176338214392328,0.0546903884956444,"VIX","IPC_yoy"
16,-0.06443941086513,-0.163758706114331,0.0621965263045026,"VIX","IPC_yoy"
17,-0.0573324444208538,-0.150829313895445,0.0588027867584455,"VIX","IPC_yoy"
18,-0.0502607765770532,-0.142907813796884,0.062516235337355,"VIX","IPC_yoy"
19,-0.0433723927842873,-0.137150954246705,0.0653294930511554,"VIX","IPC_yoy"
20,-0.036769192212857,-0.129667735490239,0.0701712745887573,"VIX","IPC_yoy"
21,-0.0305172735698531,-0.123712761349373,0.0736203166523723,"VIX","IPC_yoy"
22,-0.0246553196732351,-0.1154049230456,0.0770983707760762,"VIX","IPC_yoy"
